grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0790513834	20	0	18	2	0	0	15.5555555556	4.4444444444	0	0	0
2	0.0592885375	15	2	8	5	0	2.0833333333	7.2619047619	5.6547619048	0	0	0
3	0.5335968379	27	11	11	5	0	8.4919354839	10.3427419355	8.1653225806	0	0	0
4	0.3636363636	23	12	7	4	0	7.297188755	7.4819277108	8.2208835341	0	0	0
5	0.5375494071	34	21	4	8	1	13.5180722892	9.5421686747	9.9397590361	0	0	0
6	0.3359683794	17	8	4	4	1	5.4193548387	4.8387096774	5.7419354839	0	0	0
7	0.7826086957	18	11	3	4	0	8.7768595041	4.2396694215	4.9834710744	0	0	0
8	0.2766798419	14	10	1	3	0	5.3064516129	3.4435483871	5.25	0	0	0
9	0.5138339921	13	9	3	1	0	6.5802469136	2.3004115226	4.1193415638	0	0	0
10	0.2845849802	12	8	0	3	1	4.3643724696	2.4493927126	4.1862348178	0	0	0
11	0.2579365079	5	3	0	2	0	2.9372384937	0.8033472803	2.2594142259	2.5371179039	0.8419952027	1.6208868934
12	0.5652173913	11	7	2	1	1	4.8333333333	1.6666666667	3.5	4.9263516181	1.4653777592	3.6082706227
13	0.3873517787	7	7	0	0	0	4.6861924686	1.2719665272	2.0418410042	3.9655401557	1.0057907727	2.0286690716
14	0.1541501976	3	2	1	0	0	1.425	0.4125	1.1625	1.5258056016	0.3914320133	1.0827623852
15	0.3611111111	7	3	2	1	1	3.3389121339	1.1046025105	1.5564853556	3.6271099744	0.8914139569	1.4814760687
16	0.25	7	4	1	2	0	4.0041152263	0.8641975309	2.1316872428	4.2224801061	0.8899204244	1.8875994695
17	0.0431372549	1	1	0	0	0	0.6024590164	0.1475409836	0.25	0.619047619	0.1471861472	0.2337662338
18	0.0873015873	2	1	0	1	0	1.9419087137	0.2489626556	0.8091286307	1.4058577406	0.2343096234	0.359832636
19	0.2822580645	5	4	0	0	1	2.7179487179	0.6495726496	0.6324786325	2.8899874844	0.6661004827	0.4439120329
20	0.1346938776	3	3	0	0	0	2.1666666667	0.5384615385	0.2948717949	2.4351464435	0.5648535565	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0.0132450331	2	2	0	0	0	1.5466666667	0.3466666667	0.1066666667	1.6234309623	0.3765690377	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0.037037037	1	1	0	0	0	0.7692307692	0.2307692308	0	0.8117154812	0.1882845188	0
