grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.023715415	6	0	6	0	0	0	4.6666666667	1.3333333333	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0.0592885375	3	1	2	0	0	0.9435483871	1.1491935484	0.9072580645	0	0	0
4	0.0316205534	2	1	1	0	0	0.6345381526	0.6506024096	0.7148594378	0	0	0
5	0.04743083	3	3	0	0	0	1.2289156627	0.8674698795	0.9036144578	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
7	0.0869565217	2	2	0	0	0	0.9752066116	0.4710743802	0.5537190083	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0
10	0.023715415	1	1	0	0	0	0.3967611336	0.2226720648	0.3805668016	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0
15	0.0515873016	1	1	0	0	0	0.5564853556	0.1841004184	0.2594142259	0.5782608696	0.1347826087	0.2869565217
16	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
