grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0158102767	4	0	3	1	0	0	3.1111111111	0.8888888889	0	0	0
2	0.0118577075	3	1	2	0	0	0.4166666667	1.4523809524	1.130952381	0	0	0
3	0.2964426877	15	5	6	4	0	4.7177419355	5.7459677419	4.5362903226	0	0	0
4	0.1897233202	12	7	3	2	0	3.8072289157	3.9036144578	4.2891566265	0	0	0
5	0.395256917	25	14	4	6	1	9.8313253012	6.9397590361	7.2289156627	0	0	0
6	0.1581027668	8	4	2	1	1	2.3709677419	2.1169354839	2.5120967742	0	0	0
7	0.347826087	8	5	2	1	0	3.9008264463	1.8842975207	2.2148760331	0	0	0
8	0.1383399209	7	5	1	1	0	2.6532258065	1.7217741935	2.625	0	0	0
9	0.1976284585	5	4	1	0	0	2.5308641975	0.8847736626	1.5843621399	0	0	0
10	0.0711462451	3	2	0	1	0	1.1902834008	0.6680161943	1.1417004049	0	0	0
11	0	0	0	0	0	0	0.489539749	0.1338912134	0.3765690377	0	0	0
12	0.1027667984	2	1	1	0	0	0.9666666667	0.3333333333	0.7	0.9531506849	0.3243835616	0.7224657534
13	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0
16	0.0357142857	1	1	0	0	0	0.5720164609	0.1234567901	0.304526749	0.5301724138	0.1206896552	0.349137931
17	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0
19	0.0564516129	1	1	0	0	0	0.6794871795	0.1623931624	0.1581196581	0.6176470588	0.1554621849	0.2268907563
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0.037037037	1	1	0	0	0	0.7692307692	0.2307692308	0	0.8117154812	0.1882845188	0
