grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0079051383	2	0	2	0	0	0	1.5555555556	0.4444444444	0	0	0
2	0.0158102767	4	0	2	2	0	0.5555555556	1.9365079365	1.5079365079	0	0	0
3	0.3557312253	18	3	8	7	0	5.6612903226	6.8951612903	5.4435483871	0	0	0
4	0.0948616601	6	2	4	0	0	1.9036144578	1.9518072289	2.1445783133	0	0	0
5	0.0632411067	4	1	1	2	0	1.6385542169	1.156626506	1.2048192771	0	0	0
6	0.1581027668	8	4	2	2	0	2.7096774194	2.4193548387	2.8709677419	0	0	0
7	0.3043478261	7	3	2	2	0	3.4132231405	1.6487603306	1.9380165289	0	0	0
8	0.1185770751	6	1	1	4	0	2.2741935484	1.4758064516	2.25	0	0	0
9	0.0790513834	2	2	0	0	0	1.012345679	0.353909465	0.633744856	0	0	0
10	0.0711462451	3	2	0	1	0	1.1902834008	0.6680161943	1.1417004049	0	0	0
11	0.2063492063	4	3	0	1	0	1.9581589958	0.5355648536	1.5062761506	2	0.676056338	1.323943662
12	0	0	0	0	0	0	0	0	0	0	0	0
13	0.1660079051	3	2	1	0	0	1.7573221757	0.4769874477	0.7656903766	1.6113537118	0.4978165939	0.8908296943
14	0.1027667984	2	2	0	0	0	0.95	0.275	0.775	0.9956331878	0.2707423581	0.7336244541
15	0.2063492063	4	1	1	2	0	2.2259414226	0.7364016736	1.0376569038	2.3130434783	0.5391304348	1.147826087
16	0.2857142857	8	2	1	5	0	5.1481481481	1.1111111111	2.7407407407	4.3265915119	0.9730327144	2.7003757737
17	0.0862745098	2	0	1	1	0	1.2049180328	0.2950819672	0.5	1.2352941176	0.3109243697	0.4537815126
18	0.130952381	3	2	0	1	0	1.9419087137	0.2489626556	0.8091286307	1.8461538462	0.3846153846	0.7692307692
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0.0448979592	1	1	0	0	0	0.7222222222	0.1794871795	0.0982905983	0.7029288703	0.1171548117	0.179916318
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
