grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0079051383	2	0	2	0	0	0	1.5555555556	0.4444444444	#DIV/0!	#DIV/0!	#DIV/0!
2	0.0158102767	4	0	2	2	0	0.5555555556	1.9365079365	1.5079365079	#DIV/0!	#DIV/0!	#DIV/0!
3	0.3359683794	17	3	8	6	0	5.3467741935	6.5120967742	5.1411290323	#DIV/0!	#DIV/0!	#DIV/0!
4	0.0948616601	6	2	4	0	0	1.9036144578	1.9518072289	2.1445783133	#DIV/0!	#DIV/0!	#DIV/0!
5	0.0632411067	4	1	1	2	0	1.6385542169	1.156626506	1.2048192771	#DIV/0!	#DIV/0!	#DIV/0!
6	0.1581027668	8	4	2	2	0	2.7096774194	2.4193548387	2.8709677419	#DIV/0!	#DIV/0!	#DIV/0!
7	0.3043478261	7	3	2	2	0	3.4132231405	1.6487603306	1.9380165289	#DIV/0!	#DIV/0!	#DIV/0!
8	0.1185770751	6	1	1	4	0	2.2741935484	1.4758064516	2.25	#DIV/0!	#DIV/0!	#DIV/0!
9	0.0395256917	1	1	0	0	0	0.5061728395	0.1769547325	0.316872428	0.5	0.1690140845	0.3309859155
10	0.0711462451	3	2	0	1	0	1.1902834008	0.6680161943	1.1417004049	1.4131506849	0.4843835616	1.1024657534
11	0.2063492063	4	3	0	1	0	1.9581589958	0.5355648536	1.5062761506	2	0.676056338	1.323943662
12	0	0	0	0	0	0	0	0	0	0	0	0
13	0.0553359684	1	1	0	0	0	0.5857740586	0.1589958159	0.2552301255	0.5371179039	0.1659388646	0.2969432314
14	0.0513833992	1	1	0	0	0	0.475	0.1375	0.3875	0.4978165939	0.135371179	0.3668122271
15	0.0515873016	1	1	0	0	0	0.5564853556	0.1841004184	0.2594142259	0.5782608696	0.1347826087	0.2869565217
16	0.0714285714	2	1	0	1	0	1.7160493827	0.3703703704	0.9135802469	1.1455570292	0.2488947834	0.6055481874
17	0	0	0	0	0	0	0	0	0	0	0	0
18	0.0436507937	1	1	0	0	0	0.643153527	0.0871369295	0.2697095436	0.6153846154	0.1282051282	0.2564102564
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
