grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
7	0.0434782609	1	0	0	1	0	0.4876033058	0.2355371901	0.2768595041	#DIV/0!	#DIV/0!	#DIV/0!
8	0	0	0	0	0	0	0	0	0	0	0	0
9	0.1185770751	3	1	1	1	0	1.5185185185	0.5308641975	0.950617284	#DIV/0!	#DIV/0!	#DIV/0!
10	0.04743083	2	0	0	2	0	0.7935222672	0.4453441296	0.7611336032	#DIV/0!	#DIV/0!	#DIV/0!
11	0.0515873016	1	0	0	0	1	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0
13	0.2766798419	5	3	1	1	0	2.9288702929	0.7949790795	1.2761506276	2.5	0.8450704225	1.6549295775
14	0.3083003953	6	2	0	4	0	2.85	0.9625	2.7125	2.9635700185	0.9572889873	2.0791409942
15	0.1547619048	3	2	0	1	0	1.6694560669	0.5523012552	0.7782426778	1.6113537118	0.4978165939	0.8908296943
16	0.0714285714	2	1	0	1	0	1.1440329218	0.2469135802	0.6090534979	0.9956331878	0.2707423581	0.7336244541
17	0.1294117647	3	2	1	0	0	1.8073770492	0.4426229508	0.75	1.7347826087	0.4043478261	0.8608695652
18	0.0436507937	1	0	0	1	0	0.643153527	0.0871369295	0.2697095436	0.5301724138	0.1206896552	0.349137931
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0.0448979592	1	1	0	0	0	0.7222222222	0.1794871795	0.0982905983	0.6153846154	0.1282051282	0.2564102564
21	0.1184210526	2	1	0	0	1	0.7552447552	0.1468531469	0.0979020979	0.619047619	0.1471861472	0.2337662338
22	0.0397350993	6	5	0	1	0	4.64	1.04	0.32	4.1924686192	0.7280334728	1.0794979079
23	0	6	5	1	0	0	4.1785714286	1.3928571429	0.4285714286	4.5446808511	1.0212765957	0.4340425532
24	0.1111111111	3	2	1	0	0	2.3076923077	0.6923076923	0	2.4351464435	0.5648535565	0
