grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0316205534	8	0	5	3	0	0	6.2222222222	1.7777777778	#DIV/0!	#DIV/0!	#DIV/0!
2	0.0632411067	16	4	6	6	0	2.2222222222	7.746031746	6.0317460317	#DIV/0!	#DIV/0!	#DIV/0!
3	0.2766798419	14	3	6	5	0	4.4032258065	5.3629032258	4.2338709677	#DIV/0!	#DIV/0!	#DIV/0!
4	0.347826087	22	6	8	8	0	6.9799196787	7.156626506	7.8634538153	#DIV/0!	#DIV/0!	#DIV/0!
5	0.2687747036	17	5	7	5	0	6.9638554217	4.9156626506	5.1204819277	#DIV/0!	#DIV/0!	#DIV/0!
6	0.2964426877	15	8	4	3	0	5.0806451613	4.5362903226	5.3830645161	#DIV/0!	#DIV/0!	#DIV/0!
7	0.3913043478	9	4	2	3	0	4.3884297521	2.1198347107	2.4917355372	#DIV/0!	#DIV/0!	#DIV/0!
8	0.2766798419	14	4	6	4	0	5.3064516129	3.4435483871	5.25	#DIV/0!	#DIV/0!	#DIV/0!
9	0.3557312253	9	3	1	5	0	4.5555555556	1.5925925926	2.8518518519	4.068627451	1.1297983982	2.8015741508
10	0.3557312253	15	5	5	5	0	5.951417004	3.3400809717	5.7085020243	#DIV/0!	#DIV/0!	#DIV/0!
11	0.619047619	12	7	1	3	1	5.3849372385	1.4728033473	4.1422594142	5.6680794589	1.783335685	3.5485848562
12	1.0790513834	21	8	3	9	1	9.6666666667	3.3333333333	7	9.8523976934	3.1191606727	7.0284416339
13	0.6640316206	12	8	1	3	0	7.0292887029	1.9079497908	3.0627615063	6.655154737	1.8074040598	3.5374412031
14	0.8221343874	16	10	1	4	1	7.125	2.0625	5.8125	7.6243620989	1.9861724489	5.3894654523
15	0.2579365079	5	1	1	2	1	2.2259414226	0.7364016736	1.0376569038	2.3918158568	0.5804895871	1.0276945561
16	0.25	7	5	0	1	1	3.4320987654	0.8641975309	2.1316872428	3.4895274692	0.768881347	1.7415911837
17	0.431372549	10	6	2	2	0	6.0245901639	1.6229508197	2.75	6.1426866399	1.5008381218	2.3564752383
18	0.1746031746	4	3	0	0	1	1.9294605809	0.2614107884	0.8091286307	2.0128741551	0.3708829525	0.6162428924
19	0.2822580645	5	5	0	0	0	3.3974358974	0.811965812	0.7905982906	3.3720364742	0.7819839735	0.8459795524
20	0.2693877551	6	2	3	0	1	3.6111111111	0.8974358974	0.4914529915	4.0585774059	0.9414225941	0
21	0.0592105263	1	1	0	0	0	0.7552447552	0.1468531469	0.0979020979	0.7574468085	0.170212766	0.0723404255
22	0.0066225166	1	0	1	0	0	0.7733333333	0.1733333333	0.0533333333	0.8117154812	0.1882845188	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
