grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0
9	0.0395256917	1	1	0	0	0	0.5061728395	0.1769547325	0.316872428	0	0	0
10	0.023715415	1	1	0	0	0	0.3967611336	0.2226720648	0.3805668016	0.4931506849	0.1643835616	0.3424657534
11	0.0515873016	1	0	0	1	0	0.489539749	0.1338912134	0.3765690377	0.5371179039	0.1659388646	0.2969432314
12	0.1541501976	3	1	1	1	0	1.45	0.5	1.05	1.4934497817	0.4061135371	1.1004366812
13	0.1106719368	2	2	0	0	0	1.1715481172	0.3179916318	0.510460251	1.1565217391	0.2695652174	0.5739130435
14	0.256916996	5	4	0	1	0	2.375	0.6875	1.9375	2.6185062491	0.6181297997	1.7633639512
15	0.2579365079	5	3	1	1	0	2.7824267782	1.1046025105	1.5564853556	2.9700767263	0.7152721958	1.3146510778
16	0.1071428571	3	3	0	0	0	1.7160493827	0.4938271605	1.2181069959	1.7609416446	0.3770999116	0.8619584439
17	0.3882352941	9	5	1	2	1	4.8196721311	1.3278688525	2.25	4.9481792717	1.2023172906	1.8495034377
18	0.1746031746	4	4	0	0	0	2.5726141079	0.3485477178	1.0788381743	2.6282587705	0.4990880807	0.8726531488
19	0.5080645161	9	5	3	1	0	6.1153846154	1.4615384615	1.4230769231	6.1250253293	1.4167817998	1.458192871
20	0.3591836735	8	5	2	1	0	5.7777777778	1.4358974359	0.7863247863	5.7029288703	1.0376569038	1.2594142259
21	0.1184210526	2	2	0	0	0	1.5104895105	0.2937062937	0.1958041958	1.514893617	0.3404255319	0.1446808511
22	0.0728476821	11	8	3	0	0	8.5066666667	1.9066666667	0.5866666667	8.9288702929	2.0711297071	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
