grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0.0039525692	1	1	0	0	0	0.1388888889	0.4841269841	0.376984127	#DIV/0!	#DIV/0!	#DIV/0!
3	0.0197628458	1	0	0	1	0	0.314516129	0.3830645161	0.3024193548	#DIV/0!	#DIV/0!	#DIV/0!
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0.0158102767	1	1	0	0	0	0.4096385542	0.2891566265	0.3012048193	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0395256917	2	1	0	1	0	0.6774193548	0.6048387097	0.7177419355	#DIV/0!	#DIV/0!	#DIV/0!
7	0.0869565217	2	2	0	0	0	0.9752066116	0.4710743802	0.5537190083	1.0196078431	0.2745098039	0.7058823529
8	0.0592885375	3	1	0	2	0	1.1370967742	0.7379032258	1.125	1.38	0.48	1.14
9	0.0395256917	1	1	0	0	0	0.5061728395	0.1769547325	0.316872428	0.5	0.1690140845	0.3309859155
10	0.0711462451	3	2	0	1	0	1.1902834008	0.6680161943	1.1417004049	1.4463013699	0.4887671233	1.0649315068
11	0.1031746032	2	1	0	1	0	0.9790794979	0.2677824268	0.7531380753	1.0742358079	0.3318777293	0.5938864629
12	0.1027667984	2	2	0	0	0	0.9666666667	0.3333333333	0.7	0.9956331878	0.2707423581	0.7336244541
13	0.2766798419	5	3	0	2	0	2.9288702929	0.9539748954	1.5313807531	2.8501613822	0.7050692994	1.4447693184
14	0.0513833992	1	0	0	1	0	0.475	0.1375	0.3875	0.4978165939	0.135371179	0.3668122271
15	0.0515873016	1	0	0	1	0	0.5564853556	0.1841004184	0.2594142259	0.6176470588	0.1554621849	0.2268907563
16	0.1428571429	4	1	1	2	0	2.2880658436	0.4938271605	1.2181069959	2.34397044	0.5199865637	1.1360429963
17	0.1294117647	3	1	1	1	0	1.8073770492	0.4426229508	0.75	1.8163561077	0.4291549031	0.7544889893
18	0.1746031746	4	2	1	1	0	2.5726141079	0.3485477178	1.0788381743	2.2059018568	0.4902740937	1.3038240495
19	0.6774193548	12	6	2	3	1	7.4743589744	1.7863247863	1.7393162393	7.0737171464	1.7395851958	2.1866976578
20	0.6734693878	15	10	2	2	1	10.1111111111	2.6923076923	1.4743589744	9.0914065014	1.90816436	3.0004291385
21	1.0065789474	17	10	3	3	1	12.0839160839	2.3496503497	1.5664335664	10.0431610942	2.3780049737	3.578833932
22	0.0463576159	7	6	1	0	0	5.4133333333	1.2133333333	0.3733333333	4.8912133891	0.8493723849	1.2594142259
23	0	3	3	0	0	0	2.0892857143	0.6964285714	0.2142857143	2.2723404255	0.5106382979	0.2170212766
24	0.0740740741	2	2	0	0	0	1.5384615385	0.4615384615	0	1.6234309623	0.3765690377	0
