grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0.0039525692	1	0	1	0	0	0.1388888889	0.4841269841	0.376984127	#DIV/0!	#DIV/0!	#DIV/0!
3	0.1185770751	6	2	1	3	0	1.8870967742	2.2983870968	1.814516129	#DIV/0!	#DIV/0!	#DIV/0!
4	0.0632411067	4	2	0	1	1	0.9518072289	0.9759036145	1.0722891566	#DIV/0!	#DIV/0!	#DIV/0!
5	0.04743083	3	0	3	0	0	1.2289156627	0.8674698795	0.9036144578	#DIV/0!	#DIV/0!	#DIV/0!
6	0.1383399209	7	2	1	4	0	2.3709677419	2.1169354839	2.5120967742	#DIV/0!	#DIV/0!	#DIV/0!
7	0.3043478261	7	1	0	5	1	2.9256198347	1.4132231405	1.6611570248	#DIV/0!	#DIV/0!	#DIV/0!
8	0.1976284585	10	3	4	1	2	3.0322580645	1.9677419355	3	#DIV/0!	#DIV/0!	#DIV/0!
9	0.2371541502	6	2	1	3	0	3.037037037	1.0617283951	1.9012345679	#DIV/0!	#DIV/0!	#DIV/0!
10	0.1897233202	8	2	1	5	0	3.1740890688	1.7813765182	3.044534413	#DIV/0!	#DIV/0!	#DIV/0!
11	0.4126984127	8	2	3	3	0	3.9163179916	1.0711297071	3.0125523013	4.0469218255	1.3172782736	2.6357999009
12	0.2055335968	4	1	1	1	1	1.45	0.5	1.05	1.4887838727	0.4351259197	1.0760902076
13	0.2766798419	5	1	3	1	0	2.9288702929	0.7949790795	1.2761506276	2.7267324853	0.7985380672	1.4747294475
14	0.7193675889	14	4	2	8	0	6.65	1.925	5.425	7.2487794354	1.8146228364	4.9365977282
15	0.2063492063	4	3	0	1	0	2.2259414226	1.1046025105	1.5564853556	2.3524296675	0.559810011	1.0877603215
16	0.1785714286	5	3	1	1	0	2.8600823045	0.6172839506	1.5226337449	2.9046466266	0.6116130059	1.4837403675
17	0.2156862745	5	3	1	1	0	3.012295082	0.737704918	1.25	3.0896358543	0.7690348867	1.141329259
18	0.1746031746	4	2	0	2	0	2.5726141079	0.3485477178	1.0788381743	2.6264067234	0.4847063916	0.888886885
19	0.3387096774	6	3	0	1	2	2.7179487179	0.6495726496	0.6324786325	2.7515882949	0.643073864	0.6053378411
20	0.0897959184	2	0	1	0	1	0.7222222222	0.1794871795	0.0982905983	0.6987447699	0.1213389121	0.179916318
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0.0264900662	4	3	1	0	0	3.0933333333	0.6933333333	0.2133333333	3.2468619247	0.7531380753	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
