grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0
8	0.0197628458	1	0	0	1	0	0.3790322581	0.2459677419	0.375	#DIV/0!	#DIV/0!	#DIV/0!
9	0	0	0	0	0	0	0	0	0	0	0	0
10	0.0711462451	3	0	1	2	0	1.1902834008	0.6680161943	1.1417004049	1.38	0.48	1.14
11	0.1547619048	3	1	0	2	0	1.4686192469	0.4016736402	1.129707113	1.5782608696	0.4728107777	0.9489283527
12	0.1541501976	3	3	0	0	0	1.45	0.5	1.05	1.4841179637	0.4641383023	1.0517437339
13	0.3873517787	7	3	2	2	0	4.10041841	1.2719665272	2.0418410042	3.7598253275	1.1615720524	2.0786026201
14	0.4110671937	8	4	1	3	0	3.8	1.1	3.1	4.014888571	1.0682879084	2.9168235206
15	0.3095238095	6	3	1	2	0	3.3389121339	1.1046025105	1.5564853556	3.5103519669	0.8210991907	1.6685488425
16	0.2142857143	6	5	0	1	0	3.4320987654	0.7407407407	1.8271604938	3.1810344828	0.724137931	2.0948275862
17	0.3450980392	8	7	1	0	0	4.8196721311	1.1803278689	2	4.9411764706	1.243697479	1.8151260504
18	0.130952381	3	3	0	0	0	1.9294605809	0.2614107884	0.8091286307	1.8461538462	0.3846153846	0.7692307692
19	0.1693548387	3	3	0	0	0	2.0384615385	0.4871794872	0.4743589744	1.8571428571	0.4415584416	0.7012987013
20	0.1795918367	4	3	1	0	0	2.8888888889	0.7179487179	0.3931623932	2.7949790795	0.4853556485	0.719665272
21	0.0592105263	1	1	0	0	0	0.7552447552	0.1468531469	0.0979020979	0.7574468085	0.170212766	0.0723404255
22	0.0132450331	2	2	0	0	0	1.5466666667	0.3466666667	0.1066666667	1.6234309623	0.3765690377	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
