grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0711462451	18	0	16	2	0	0	14	4	#DIV/0!	#DIV/0!	#DIV/0!
2	0.0434782609	11	1	7	3	0	1.5277777778	5.3253968254	4.1468253968	#DIV/0!	#DIV/0!	#DIV/0!
3	0.1383399209	7	4	2	1	0	2.2016129032	2.6814516129	2.1169354839	#DIV/0!	#DIV/0!	#DIV/0!
4	0.1739130435	11	6	3	2	0	3.4899598394	3.578313253	3.9317269076	#DIV/0!	#DIV/0!	#DIV/0!
5	0.0948616601	6	2	1	2	1	2.0481927711	1.4457831325	1.5060240964	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0395256917	2	1	1	0	0	0.6774193548	0.6048387097	0.7177419355	#DIV/0!	#DIV/0!	#DIV/0!
7	0	0	0	0	0	0	0	0	0	0	0	0
8	0.0197628458	1	1	0	0	0	0.3790322581	0.2459677419	0.375	#DIV/0!	#DIV/0!	#DIV/0!
9	0.0790513834	2	1	1	0	0	1.012345679	0.353909465	0.633744856	1.0098039216	0.3062689865	0.683927092
10	0.023715415	1	0	0	1	0	0.3967611336	0.2226720648	0.3805668016	0.46	0.16	0.38
11	0.0515873016	1	1	0	0	0	0.489539749	0.1338912134	0.3765690377	0.5098039216	0.137254902	0.3529411765
12	0.1027667984	2	1	0	0	1	0.4833333333	0.1666666667	0.35	0.4978165939	0.135371179	0.3668122271
13	0.0553359684	1	1	0	0	0	0.5857740586	0.1589958159	0.2552301255	0.5782608696	0.1347826087	0.2869565217
14	0.0513833992	1	0	0	1	0	0.475	0.1375	0.3875	0.5301724138	0.1206896552	0.349137931
15	0.0515873016	1	1	0	0	0	0.5564853556	0.1841004184	0.2594142259	0.6176470588	0.1554621849	0.2268907563
16	0.0357142857	1	0	1	0	0	0.5720164609	0.1234567901	0.304526749	0.6153846154	0.1282051282	0.2564102564
17	0.0431372549	1	1	0	0	0	0.6024590164	0.1475409836	0.25	0.619047619	0.1471861472	0.2337662338
18	0.0873015873	2	2	0	0	0	1.2863070539	0.1742738589	0.5394190871	1.3974895397	0.2426778243	0.359832636
19	0.0564516129	1	1	0	0	0	0.6794871795	0.1623931624	0.1581196581	0.7574468085	0.170212766	0.0723404255
20	0.0448979592	1	1	0	0	0	0.7222222222	0.1794871795	0.0982905983	0.6153846154	0.1282051282	0.2564102564
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
