grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0039525692	1	0	0	1	0	0	0.7777777778	0.2222222222	#DIV/0!	#DIV/0!	#DIV/0!
2	0.0039525692	1	0	0	1	0	0.1388888889	0.4841269841	0.376984127	#DIV/0!	#DIV/0!	#DIV/0!
3	0.0790513834	4	2	0	2	0	1.2580645161	1.5322580645	1.2096774194	#DIV/0!	#DIV/0!	#DIV/0!
4	0.0632411067	4	0	1	3	0	1.2690763052	1.3012048193	1.4297188755	#DIV/0!	#DIV/0!	#DIV/0!
5	0.1422924901	9	2	4	3	0	3.686746988	2.6024096386	2.7108433735	#DIV/0!	#DIV/0!	#DIV/0!
6	0.1383399209	7	2	4	1	0	2.3709677419	2.1169354839	2.5120967742	#DIV/0!	#DIV/0!	#DIV/0!
7	0.2173913043	5	5	0	0	0	2.4380165289	1.1776859504	1.3842975207	#DIV/0!	#DIV/0!	#DIV/0!
8	0.1778656126	9	2	1	6	0	3.4112903226	2.2137096774	3.375	#DIV/0!	#DIV/0!	#DIV/0!
9	0.4347826087	11	7	2	2	0	5.5679012346	1.9465020576	3.4855967078	#DIV/0!	#DIV/0!	#DIV/0!
10	0.1660079051	7	3	2	1	1	2.3805668016	1.3360323887	2.2834008097	2.8594520548	0.9731506849	2.1673972603
11	0.4642857143	9	4	1	4	0	4.4058577406	1.2050209205	3.3891213389	4.7051973628	1.4422322961	2.8525703411
12	0.1541501976	3	3	0	0	0	1.45	0.5	1.05	1.4934497817	0.4061135371	1.1004366812
13	0.3320158103	6	5	1	0	0	3.5146443515	0.9539748954	1.5313807531	3.3090184166	0.9052396399	1.7857419436
14	0.3596837945	7	4	1	2	0	3.325	0.9625	2.7125	3.60014171	0.9759093056	2.4239489844
15	0.619047619	12	7	2	3	0	6.6778242678	2.5774058577	3.6317991632	7.2130769832	1.8139841697	2.9729388471
16	0.3571428571	10	8	1	1	0	5.7201646091	1.2345679012	3.0452674897	5.9187101108	1.2963833837	2.7849065054
17	0.1294117647	3	2	1	0	0	1.8073770492	0.4426229508	0.75	1.9955420466	0.4645850603	0.5398728931
18	0.1746031746	4	4	0	0	0	2.5726141079	0.3485477178	1.0788381743	2.711618925	0.4922218646	0.7961592104
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0.0897959184	2	1	1	0	0	1.4444444444	0.358974359	0.1965811966	1.6234309623	0.3765690377	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0.037037037	1	1	0	0	0	0.7692307692	0.2307692308	0	0.8117154812	0.1882845188	0
