grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0039525692	1	0	0	1	0	0	0.7777777778	0.2222222222	#DIV/0!	#DIV/0!	#DIV/0!
2	0.0039525692	1	0	0	1	0	0.1388888889	0.4841269841	0.376984127	#DIV/0!	#DIV/0!	#DIV/0!
3	0.0197628458	1	0	0	1	0	0.314516129	0.3830645161	0.3024193548	#DIV/0!	#DIV/0!	#DIV/0!
4	0.04743083	3	0	1	2	0	0.9518072289	0.9759036145	1.0722891566	#DIV/0!	#DIV/0!	#DIV/0!
5	0.1106719368	7	1	3	3	0	2.8674698795	2.0240963855	2.1084337349	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0790513834	4	0	3	0	1	1.0161290323	0.9072580645	1.0766129032	#DIV/0!	#DIV/0!	#DIV/0!
7	0.5217391304	12	7	2	3	0	5.8512396694	2.826446281	3.3223140496	#DIV/0!	#DIV/0!	#DIV/0!
8	0.256916996	13	6	4	2	1	4.5483870968	2.9516129032	4.5	#DIV/0!	#DIV/0!	#DIV/0!
9	0.4743083004	12	6	1	3	2	5.0617283951	1.7695473251	3.1687242798	#DIV/0!	#DIV/0!	#DIV/0!
10	0.3320158103	14	7	4	2	1	5.1578947368	2.8947368421	4.9473684211	#DIV/0!	#DIV/0!	#DIV/0!
11	0.876984127	17	7	2	5	3	6.8535564854	2.0083682008	5.6485355649	7.1778833804	2.2586187559	4.5634978636
12	0.4110671937	8	4	2	2	0	3.8666666667	1.3333333333	2.8	3.9252576564	1.2045826982	2.8701596455
13	0.8300395257	15	7	4	3	1	8.2008368201	2.5439330544	4.0836820084	7.5009012832	2.2376499765	4.2614487402
14	0.1541501976	3	3	0	0	0	1.425	0.4125	1.1625	1.4887838727	0.4351259197	1.0760902076
15	0.2063492063	4	2	1	0	1	1.6694560669	0.5523012552	0.7782426778	1.6524966774	0.466660338	0.8808429846
16	0.1428571429	4	2	0	2	0	2.2880658436	0.4938271605	1.2181069959	2.108834397	0.5343186653	1.3568469376
17	0.1294117647	3	2	0	1	0	1.8073770492	0.5901639344	1	1.7755693582	0.4167513646	0.8076792772
18	0.0436507937	1	1	0	0	0	0.643153527	0.0871369295	0.2697095436	0.6153846154	0.1282051282	0.2564102564
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0.037037037	1	1	0	0	0	0.7692307692	0.2307692308	0	0.8117154812	0.1882845188	0
