grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0.0039525692	1	0	0	1	0	0.1388888889	0.4841269841	0.376984127	#DIV/0!	#DIV/0!	#DIV/0!
3	0.0197628458	1	0	0	1	0	0.314516129	0.3830645161	0.3024193548	#DIV/0!	#DIV/0!	#DIV/0!
4	0.04743083	3	0	1	2	0	0.9518072289	0.9759036145	1.0722891566	#DIV/0!	#DIV/0!	#DIV/0!
5	0.0948616601	6	1	3	2	0	2.4578313253	1.734939759	1.8072289157	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0790513834	4	0	3	0	1	1.0161290323	0.9072580645	1.0766129032	#DIV/0!	#DIV/0!	#DIV/0!
7	0.5217391304	12	7	2	3	0	5.8512396694	2.826446281	3.3223140496	#DIV/0!	#DIV/0!	#DIV/0!
8	0.2173913043	11	5	3	2	1	3.7903225806	2.4596774194	3.75	#DIV/0!	#DIV/0!	#DIV/0!
9	0.395256917	10	5	1	3	1	4.5555555556	1.5925925926	2.8518518519	4.568627451	1.2988124827	3.1325600663
10	0.2845849802	12	7	3	1	1	4.3643724696	2.4493927126	4.1862348178	#DIV/0!	#DIV/0!	#DIV/0!
11	0.7738095238	15	7	1	5	2	6.8535564854	1.8744769874	5.2719665272	6.6680794589	2.121363854	4.2105566872
12	0.3596837945	7	3	2	2	0	3.3833333333	1.1666666667	2.45	3.4652576564	1.0445826982	2.4901596455
13	0.6640316206	12	7	1	3	1	7.6150627615	2.0669456067	3.3179916318	6.0009012832	1.730607723	3.2684909938
14	0.1541501976	3	3	0	0	0	1.425	0.4125	1.1625	1.4887838727	0.4351259197	1.0760902076
15	0.1031746032	2	2	0	0	0	1.1129707113	0.3682008368	0.5188284519	1.1153787735	0.3007214733	0.5838997532
16	0.1071428571	3	2	0	1	0	1.7160493827	0.3703703704	0.9135802469	1.6110178032	0.3989474863	0.9900347106
17	0.0431372549	1	0	0	1	0	1.2049180328	0.2950819672	0.5	0.619047619	0.1471861472	0.2337662338
18	0.0436507937	1	1	0	0	0	0.643153527	0.0871369295	0.2697095436	0.6153846154	0.1282051282	0.2564102564
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0.037037037	1	1	0	0	0	0.7692307692	0.2307692308	0	0.8117154812	0.1882845188	0
