grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0
10	0.04743083	2	0	0	2	0	0.7935222672	0.4453441296	0.7611336032	0.9863013699	0.3287671233	0.6849315068
11	0.0515873016	1	0	0	0	1	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0
13	0.1106719368	2	1	1	0	0	1.1715481172	0.3179916318	0.510460251	1.0742358079	0.3318777293	0.5938864629
14	0.0513833992	1	0	1	0	0	0.475	0.1375	0.3875	0.4978165939	0.135371179	0.3668122271
15	0.1547619048	3	3	0	0	0	1.6694560669	0.5523012552	0.7782426778	1.774168798	0.4250274023	0.8008037998
16	0.2142857143	6	2	2	1	1	2.8600823045	0.6172839506	1.5226337449	2.8212864721	0.6184792219	1.5602343059
17	0.1294117647	3	3	0	0	0	1.8073770492	0.4426229508	0.75	1.8543417367	0.4581105169	0.6875477464
18	0.1746031746	4	2	1	1	0	2.5726141079	0.3485477178	1.0788381743	2.544898616	0.5059542967	0.9491470872
19	0.2822580645	5	4	0	0	1	2.7179487179	0.6495726496	0.6324786325	2.6145896657	0.6117712075	0.7736391268
20	0.1346938776	3	3	0	0	0	2.1666666667	0.5384615385	0.2948717949	2.3221757322	0.4979079498	0.179916318
21	0.1184210526	2	2	0	0	0	1.5104895105	0.2937062937	0.1958041958	1.514893617	0.3404255319	0.1446808511
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
