grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0.0316205534	2	1	0	1	0	0.6345381526	0.6506024096	0.7148594378	#DIV/0!	#DIV/0!	#DIV/0!
5	0.0316205534	2	2	0	0	0	0.8192771084	0.578313253	0.6024096386	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0197628458	1	0	1	0	0	0.3387096774	0.3024193548	0.3588709677	#DIV/0!	#DIV/0!	#DIV/0!
7	0.1739130435	4	1	1	1	1	1.4628099174	0.7066115702	0.8305785124	#DIV/0!	#DIV/0!	#DIV/0!
8	0.0592885375	3	1	1	1	0	1.1370967742	0.7379032258	1.125	#DIV/0!	#DIV/0!	#DIV/0!
9	0.0790513834	2	0	1	1	0	1.012345679	0.353909465	0.633744856	1.0098039216	0.3062689865	0.683927092
10	0	0	0	0	0	0	0	0	0	0	0	0
11	0.1031746032	2	2	0	0	0	0.9790794979	0.4016736402	1.129707113	1.0742358079	0.3318777293	0.5938864629
12	0.2055335968	4	2	1	1	0	1.9333333333	0.6666666667	1.4	1.9819345576	0.5995094814	1.418555961
13	0.0553359684	1	1	0	0	0	0.5857740586	0.1589958159	0.2552301255	0.5782608696	0.1347826087	0.2869565217
14	0.2055335968	4	1	0	3	0	1.9	0.55	1.55	1.9912663755	0.5414847162	1.4672489083
15	0.2579365079	5	4	0	1	0	2.7824267782	0.9205020921	1.2970711297	2.9700767263	0.7152721958	1.3146510778
16	0.1428571429	4	3	1	0	0	2.2880658436	0.4938271605	1.2181069959	2.2911140584	0.4977895668	1.2110963749
17	0.2156862745	5	3	0	2	0	3.012295082	0.737704918	1.25	3.0896358543	0.7690348867	1.141329259
18	0.1746031746	4	3	0	1	0	2.5726141079	0.3485477178	1.0788381743	2.544898616	0.5059542967	0.9491470872
19	0.0564516129	1	1	0	0	0	0.6794871795	0.1623931624	0.1581196581	0.619047619	0.1471861472	0.2337662338
20	0.0448979592	1	1	0	0	0	0.7222222222	0.1794871795	0.0982905983	0.8117154812	0.1882845188	0
21	0.1184210526	2	2	0	0	0	1.5104895105	0.2937062937	0.1958041958	1.514893617	0.3404255319	0.1446808511
22	0.0198675497	3	3	0	0	0	2.32	0.52	0.16	2.4351464435	0.5648535565	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
