grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0.0039525692	1	0	0	1	0	0.1388888889	0.4841269841	0.376984127	#DIV/0!	#DIV/0!	#DIV/0!
3	0.0395256917	2	1	0	1	0	0.6290322581	0.7661290323	0.6048387097	#DIV/0!	#DIV/0!	#DIV/0!
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
7	0.0869565217	2	1	0	1	0	0.9752066116	0.4710743802	0.5537190083	#DIV/0!	#DIV/0!	#DIV/0!
8	0.0395256917	2	0	2	0	0	0.7580645161	0.4919354839	0.75	#DIV/0!	#DIV/0!	#DIV/0!
9	0.1185770751	3	1	1	1	0	1.5185185185	0.5308641975	0.950617284	#DIV/0!	#DIV/0!	#DIV/0!
10	0.0948616601	4	0	2	2	0	1.5870445344	0.8906882591	1.5222672065	#DIV/0!	#DIV/0!	#DIV/0!
11	0.1547619048	3	1	0	2	0	1.4686192469	0.4016736402	1.129707113	1.5567257471	0.4404486686	1.0028255844
12	0.4624505929	9	5	2	2	0	4.35	1.6666666667	3.5	4.1778165939	1.415371179	3.4068122271
13	0.3320158103	6	3	1	1	1	2.9288702929	0.7949790795	1.2761506276	2.5371179039	0.8419952027	1.6208868934
14	0.3083003953	6	3	1	1	1	2.375	0.6875	1.9375	2.4657534247	0.8219178082	1.7123287671
15	0.1547619048	3	1	0	1	1	1.1129707113	0.3682008368	0.5188284519	1.0742358079	0.3318777293	0.5938864629
16	0.25	7	5	0	1	1	3.4320987654	0.7407407407	1.8271604938	3.1044675848	0.8050610234	2.0904713918
17	0.431372549	10	7	0	2	1	5.4221311475	1.3278688525	2.25	5.2437340153	1.2337230544	2.5225429302
18	0.2182539683	5	2	2	1	0	3.2157676349	0.4356846473	1.3485477178	2.9064986737	0.625994695	1.4675066313
19	0.1693548387	3	2	1	0	0	2.0384615385	0.6495726496	0.6324786325	1.8571428571	0.4415584416	0.7012987013
20	0.1795918367	4	3	0	0	1	2.1666666667	0.5384615385	0.2948717949	2.0962343096	0.3640167364	0.539748954
21	0.0592105263	1	1	0	0	0	0.7552447552	0.1468531469	0.0979020979	0.7574468085	0.170212766	0.0723404255
22	0.0066225166	1	1	0	0	0	0.7733333333	0.1733333333	0.0533333333	0.8117154812	0.1882845188	0
23	0	1	1	0	0	0	0.6964285714	0.2321428571	0.0714285714	0.7574468085	0.170212766	0.0723404255
24	0.037037037	1	1	0	0	0	0.7692307692	0.2307692308	0	0.8117154812	0.1882845188	0
