grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0039525692	1	0	1	0	0	0	0.7777777778	0.2222222222	#DIV/0!	#DIV/0!	#DIV/0!
2	0.0158102767	4	0	2	2	0	0.5555555556	1.9365079365	1.5079365079	#DIV/0!	#DIV/0!	#DIV/0!
3	0.0790513834	4	0	3	1	0	1.2580645161	1.5322580645	1.2096774194	#DIV/0!	#DIV/0!	#DIV/0!
4	0.0316205534	2	0	0	2	0	0.6345381526	0.6506024096	0.7148594378	#DIV/0!	#DIV/0!	#DIV/0!
5	0.0790513834	5	2	1	2	0	2.0481927711	1.4457831325	1.5060240964	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0988142292	5	2	2	1	0	1.6935483871	1.5120967742	1.7943548387	#DIV/0!	#DIV/0!	#DIV/0!
7	0.2608695652	6	1	4	1	0	2.9256198347	1.4132231405	1.6611570248	#DIV/0!	#DIV/0!	#DIV/0!
8	0.0790513834	4	1	1	2	0	1.5161290323	0.9838709677	1.5	#DIV/0!	#DIV/0!	#DIV/0!
9	0.0395256917	1	1	0	0	0	0.5061728395	0.1769547325	0.316872428	0.5098039216	0.137254902	0.3529411765
10	0.023715415	1	1	0	0	0	0.3967611336	0.2226720648	0.3805668016	0.4931506849	0.1643835616	0.3424657534
11	0.3095238095	6	3	1	2	0	2.9372384937	0.8033472803	2.2594142259	3.0742358079	1.0079340673	1.9178301249
12	0.1541501976	3	1	1	0	1	0.9666666667	0.3333333333	0.7	0.9909672788	0.2997547407	0.7092779805
13	0.2213438735	4	2	0	2	0	2.3430962343	0.6359832636	1.0209205021	2.1524966774	0.6356744225	1.2118289001
14	0.1027667984	2	1	0	0	1	0.475	0.1375	0.3875	0.5301724138	0.1206896552	0.349137931
15	0.2063492063	4	1	0	3	0	2.2259414226	0.7364016736	1.0376569038	2.2701437362	0.6221225228	1.1077337409
16	0.1428571429	4	0	0	4	0	2.2880658436	0.6172839506	1.5226337449	2.108834397	0.5343186653	1.3568469376
17	0.3019607843	7	5	0	2	0	4.2172131148	1.1803278689	2	4.0872122762	0.964157837	1.9486298867
18	0.6547619048	15	13	1	1	0	9.6473029046	1.3070539419	4.0456431535	8.3749431207	1.8191588145	4.8058980648
19	0.9596774194	17	11	3	3	0	11.5512820513	2.7606837607	2.688034188	10.5014005602	2.6345811052	3.8640183346
20	0.4040816327	9	8	0	0	1	5.7777777778	1.4358974359	0.7863247863	4.9230769231	1.0256410256	2.0512820513
21	0.1776315789	3	2	1	0	0	2.2657342657	0.4405594406	0.2937062937	1.8571428571	0.4415584416	0.7012987013
22	0.0132450331	2	2	0	0	0	1.5466666667	0.3466666667	0.1066666667	1.510460251	0.309623431	0.179916318
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0.037037037	1	1	0	0	0	0.7692307692	0.2307692308	0	0.8117154812	0.1882845188	0
