grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0039525692	1	0	0	1	0	0	0.7777777778	0.2222222222	#DIV/0!	#DIV/0!	#DIV/0!
2	0.0118577075	3	0	2	1	0	0.4166666667	1.4523809524	1.130952381	#DIV/0!	#DIV/0!	#DIV/0!
3	0.0592885375	3	2	1	0	0	0.9435483871	1.1491935484	0.9072580645	#DIV/0!	#DIV/0!	#DIV/0!
4	0.0948616601	6	1	3	2	0	1.9036144578	1.9518072289	2.1445783133	#DIV/0!	#DIV/0!	#DIV/0!
5	0.1422924901	9	5	3	1	0	3.686746988	2.6024096386	2.7108433735	#DIV/0!	#DIV/0!	#DIV/0!
6	0.1581027668	8	5	2	1	0	2.7096774194	2.4193548387	2.8709677419	#DIV/0!	#DIV/0!	#DIV/0!
7	0.4347826087	10	6	2	2	0	4.8760330579	2.3553719008	2.7685950413	#DIV/0!	#DIV/0!	#DIV/0!
8	0.1976284585	10	3	5	2	0	3.7903225806	2.4596774194	3.75	#DIV/0!	#DIV/0!	#DIV/0!
9	0.3557312253	9	3	3	3	0	4.5555555556	1.5925925926	2.8518518519	#DIV/0!	#DIV/0!	#DIV/0!
10	0.0948616601	4	2	0	2	0	1.5870445344	0.8906882591	1.5222672065	1.9726027397	0.6575342466	1.3698630137
11	0.1547619048	3	2	0	1	0	1.4686192469	0.4016736402	1.129707113	1.5840397294	0.4691326312	0.9468276394
12	0.1027667984	2	1	0	1	0	0.9666666667	0.3333333333	0.7	0.9909672788	0.2997547407	0.7092779805
13	0.1660079051	3	1	0	2	0	1.7573221757	0.4769874477	0.7656903766	1.7347826087	0.4043478261	0.8608695652
14	0.0513833992	1	1	0	0	0	0.475	0.1375	0.3875	0.4978165939	0.135371179	0.3668122271
15	0	0	0	0	0	0	0	0	0	0	0	0
16	0.0357142857	1	1	0	0	0	0.5720164609	0.1234567901	0.304526749	0.6153846154	0.1282051282	0.2564102564
17	0.0862745098	2	0	1	1	0	1.2049180328	0.2950819672	0.5	1.2380952381	0.2943722944	0.4675324675
18	0	0	0	0	0	0	0	0.0871369295	0.2697095436	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
