grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0.04743083	3	2	1	0	0	0.9518072289	0.9759036145	1.0722891566	#DIV/0!	#DIV/0!	#DIV/0!
5	0.0632411067	4	1	0	3	0	1.6385542169	1.156626506	1.2048192771	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0592885375	3	1	1	1	0	1.0161290323	0.9072580645	1.0766129032	#DIV/0!	#DIV/0!	#DIV/0!
7	0.1739130435	4	2	1	1	0	1.9504132231	0.9421487603	1.1074380165	#DIV/0!	#DIV/0!	#DIV/0!
8	0.1185770751	6	1	2	3	0	2.2741935484	1.4758064516	2.25	#DIV/0!	#DIV/0!	#DIV/0!
9	0.2371541502	6	2	2	2	0	3.037037037	1.0617283951	1.9012345679	3.0196078431	0.9505661419	2.0298260149
10	0.04743083	2	0	1	1	0	0.7935222672	0.4453441296	0.7611336032	0.92	0.32	0.76
11	0.3095238095	6	2	0	4	0	2.9372384937	0.8033472803	2.2594142259	3.1484716157	1.0017836275	1.8497447568
12	0.4110671937	8	1	2	5	0	3.8666666667	1.3333333333	2.8	3.9638691153	1.1990189627	2.837111922
13	0.2213438735	4	4	0	0	0	2.3430962343	0.6359832636	1.0209205021	2.1484716157	0.6637554585	1.1877729258
14	0.1027667984	2	1	0	1	0	0.95	0.275	0.775	1.0279890077	0.2560608342	0.7159501581
15	0.3095238095	6	2	2	2	0	3.3389121339	1.1046025105	1.5564853556	3.5089514066	0.8293752284	1.661673365
16	0.0714285714	2	2	0	0	0	1.1440329218	0.2469135802	0.6090534979	1.1455570292	0.2488947834	0.6055481874
17	0.1725490196	4	4	0	0	0	2.4098360656	0.5901639344	1	2.7515882949	0.643073864	0.6053378411
18	0.1746031746	4	2	1	0	1	1.9294605809	0.2614107884	0.8091286307	1.9295140006	0.3777491685	0.6927368308
19	0.1129032258	2	2	0	0	0	1.358974359	0.3247863248	0.3162393162	1.3764944276	0.3173989131	0.3061066593
20	0.0448979592	1	1	0	0	0	0.7222222222	0.1794871795	0.0982905983	0.8117154812	0.1882845188	0
21	0.0592105263	1	1	0	0	0	0.7552447552	0.1468531469	0.0979020979	0.7574468085	0.170212766	0.0723404255
22	0.0066225166	1	0	1	0	0	0.7733333333	0.1733333333	0.0533333333	0.8117154812	0.1882845188	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
