grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0.0395256917	2	1	0	1	0	0.6774193548	0.6048387097	0.7177419355	#DIV/0!	#DIV/0!	#DIV/0!
7	0.0434782609	1	1	0	0	0	0.4876033058	0.2355371901	0.2768595041	#DIV/0!	#DIV/0!	#DIV/0!
8	0.0395256917	2	0	1	1	0	0.7580645161	0.4919354839	0.75	#DIV/0!	#DIV/0!	#DIV/0!
9	0.1185770751	3	1	0	2	0	1.5185185185	0.5308641975	0.950617284	1.5	0.5070422535	0.9929577465
10	0	0	0	0	0	0	0	0	0	0	0	0
11	0.1547619048	3	1	0	2	0	1.4686192469	0.4016736402	1.129707113	1.6113537118	0.4978165939	0.8908296943
12	0.1541501976	3	0	0	3	0	1.45	0.5	1.05	1.4887838727	0.4351259197	1.0760902076
13	0.1660079051	3	3	0	0	0	1.7573221757	0.4769874477	0.7656903766	1.6113537118	0.4978165939	0.8908296943
14	0.1027667984	2	1	0	1	0	0.95	0.275	0.775	1.0279890077	0.2560608342	0.7159501581
15	0.2063492063	4	1	2	1	0	2.2259414226	0.7364016736	1.0376569038	2.3130434783	0.5391304348	1.147826087
16	0.0714285714	2	2	0	0	0	1.1440329218	0.2469135802	0.6090534979	1.1455570292	0.2488947834	0.6055481874
17	0.0431372549	1	1	0	0	0	0.6024590164	0.1475409836	0.25	0.6176470588	0.1554621849	0.2268907563
18	0.130952381	3	1	1	0	1	1.2863070539	0.1742738589	0.5394190871	1.2307692308	0.2564102564	0.5128205128
19	0.1129032258	2	2	0	0	0	1.358974359	0.3247863248	0.3162393162	1.3764944276	0.3173989131	0.3061066593
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0.0066225166	1	0	1	0	0	0.7733333333	0.1733333333	0.0533333333	0.8117154812	0.1882845188	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
