grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0039525692	1	0	0	1	0	0	0.7777777778	0.2222222222	#DIV/0!	#DIV/0!	#DIV/0!
2	0.0039525692	1	0	0	1	0	0.1388888889	0.4841269841	0.376984127	#DIV/0!	#DIV/0!	#DIV/0!
3	0.0395256917	2	0	1	1	0	0.6290322581	0.7661290323	0.6048387097	#DIV/0!	#DIV/0!	#DIV/0!
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0.0158102767	1	0	0	1	0	0.4096385542	0.2891566265	0.3012048193	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0395256917	2	0	0	2	0	0.6774193548	0.6048387097	0.7177419355	#DIV/0!	#DIV/0!	#DIV/0!
7	0.1304347826	3	1	1	1	0	1.4628099174	0.7066115702	0.8305785124	#DIV/0!	#DIV/0!	#DIV/0!
8	0.0790513834	4	2	1	1	0	1.5161290323	0.9838709677	1.5	#DIV/0!	#DIV/0!	#DIV/0!
9	0.1581027668	4	0	0	3	1	1.5185185185	0.5308641975	0.950617284	#DIV/0!	#DIV/0!	#DIV/0!
10	0.0711462451	3	0	1	2	0	1.1902834008	0.6680161943	1.1417004049	1.4841179637	0.4641383023	1.0517437339
11	0.1547619048	3	3	0	0	0	1.4686192469	0.4016736402	1.129707113	1.5840397294	0.4691326312	0.9468276394
12	0.2055335968	4	2	1	1	0	2.4166666667	0.8333333333	1.75	1.9156331878	0.5907423581	1.4936244541
13	0.442687747	8	2	2	3	1	4.10041841	1.1129707113	1.7866108787	3.6524966774	1.142716676	2.2047866466
14	0.4624505929	9	3	2	3	1	3.8	1.1	3.1	4.033246664	1.1406435324	2.8261098036
15	0.4642857143	9	3	3	2	1	4.4518828452	1.4728033473	2.0753138075	4.6225734038	1.1819325338	2.1954940624
16	0.3214285714	9	4	1	4	0	5.1481481481	1.1111111111	2.7407407407	4.960624642	1.1237346743	2.9156406837
17	0.431372549	10	6	3	1	0	6.0245901639	1.4754098361	2.5	6.0976982097	1.5132626964	2.3890390939
18	0.3928571429	9	7	1	1	0	5.7883817427	0.7842323651	2.4273858921	5.4513972898	1.1319489917	2.4166537185
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0.0897959184	2	2	0	0	0	1.4444444444	0.358974359	0.1965811966	1.3974895397	0.2426778243	0.359832636
21	0.1776315789	3	3	0	0	0	3.020979021	0.5874125874	0.3916083916	1.9955420466	0.4645850603	0.5398728931
22	0.0331125828	5	5	0	0	0	3.8666666667	0.8666666667	0.2666666667	3.8326359833	0.8075313808	0.359832636
23	0	1	1	0	0	0	0.6964285714	0.2321428571	0.0714285714	0.7574468085	0.170212766	0.0723404255
24	0.037037037	1	0	0	0	1	0	0	0	0	0	0
