grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0632411067	16	0	15	1	0	0	12.4444444444	3.5555555556	#DIV/0!	#DIV/0!	#DIV/0!
2	0.0434782609	11	2	4	5	0	1.5277777778	5.3253968254	4.1468253968	#DIV/0!	#DIV/0!	#DIV/0!
3	0.3557312253	18	6	11	0	1	5.3467741935	6.5120967742	5.1411290323	#DIV/0!	#DIV/0!	#DIV/0!
4	0.4110671937	26	8	12	6	0	8.2489959839	8.4578313253	9.2931726908	#DIV/0!	#DIV/0!	#DIV/0!
5	0.2687747036	17	10	4	3	0	6.9638554217	4.9156626506	5.1204819277	#DIV/0!	#DIV/0!	#DIV/0!
6	0.5138339921	26	11	8	7	0	8.8064516129	7.8629032258	9.3306451613	#DIV/0!	#DIV/0!	#DIV/0!
7	0.7826086957	18	10	3	4	1	8.2892561983	4.0041322314	4.7066115702	#DIV/0!	#DIV/0!	#DIV/0!
8	0.2766798419	14	5	4	5	0	5.3064516129	3.4435483871	5.25	#DIV/0!	#DIV/0!	#DIV/0!
9	0.5928853755	15	10	2	2	1	7.0864197531	2.4773662551	4.4362139918	#DIV/0!	#DIV/0!	#DIV/0!
10	0.3083003953	13	4	5	4	0	5.1578947368	2.8947368421	4.9473684211	#DIV/0!	#DIV/0!	#DIV/0!
11	0.5674603175	11	8	1	2	0	5.3849372385	1.4728033473	4.1422594142	5.8107722147	1.774712952	3.4145148333
12	0.3596837945	7	2	3	1	1	3.3833333333	1.1666666667	2.45	2.9019345576	0.9195094814	2.178555961
13	0.442687747	8	4	2	2	0	5.2719665272	1.4309623431	2.2970711297	4.3461363205	1.240192589	2.4136710905
14	0.4110671937	8	6	1	1	0	3.8	1.1	3.1	4.1349800327	1.0675865782	2.7974333891
15	0.3095238095	6	3	0	0	3	1.6694560669	0.5523012552	0.7782426778	1.8529411765	0.4663865546	0.6806722689
16	0.3928571429	11	10	0	1	0	6.29218107	1.3580246914	3.3497942387	6.396026143	1.394876042	3.209097815
17	0.1294117647	3	2	0	1	0	1.8073770492	0.4426229508	0.75	1.8571428571	0.4415584416	0.7012987013
18	0.1746031746	4	1	1	2	0	3.2157676349	0.4356846473	1.3485477178	2.6282587705	0.4990880807	0.8726531488
19	0.0564516129	1	1	0	0	0	0.6794871795	0.1623931624	0.1581196581	0.7574468085	0.170212766	0.0723404255
20	0.0897959184	2	2	0	0	0	1.4444444444	0.358974359	0.1965811966	1.510460251	0.309623431	0.179916318
21	0.2368421053	4	3	1	0	0	3.020979021	0.5874125874	0.3916083916	2.8913880446	0.6578244451	0.4507875104
22	0.0066225166	1	1	0	0	0	0.7733333333	0.1733333333	0.0533333333	0.8117154812	0.1882845188	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0.037037037	1	1	0	0	0	0.7692307692	0.2307692308	0	0.8117154812	0.1882845188	0
