grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0039525692	1	0	1	0	0	0	0.7777777778	0.2222222222	#DIV/0!	#DIV/0!	#DIV/0!
2	0.0079051383	2	0	0	2	0	0.2777777778	0.9682539683	0.753968254	#DIV/0!	#DIV/0!	#DIV/0!
3	0.1581027668	8	3	4	0	1	2.2016129032	2.6814516129	2.1169354839	#DIV/0!	#DIV/0!	#DIV/0!
4	0.2529644269	16	6	6	4	0	5.0763052209	5.2048192771	5.718875502	#DIV/0!	#DIV/0!	#DIV/0!
5	0.2213438735	14	9	2	3	0	5.734939759	4.0481927711	4.2168674699	#DIV/0!	#DIV/0!	#DIV/0!
6	0.4545454545	23	9	7	7	0	7.7903225806	6.9556451613	8.2540322581	#DIV/0!	#DIV/0!	#DIV/0!
7	0.6956521739	16	9	3	3	1	7.3140495868	3.5330578512	4.152892562	#DIV/0!	#DIV/0!	#DIV/0!
8	0.1778656126	9	4	4	1	0	3.4112903226	2.2137096774	3.375	#DIV/0!	#DIV/0!	#DIV/0!
9	0.5138339921	13	10	1	1	1	6.0740740741	2.1234567901	3.8024691358	#DIV/0!	#DIV/0!	#DIV/0!
10	0.2134387352	9	4	2	3	0	3.5708502024	2.004048583	3.4251012146	#DIV/0!	#DIV/0!	#DIV/0!
11	0.2063492063	4	4	0	0	0	1.9581589958	0.5355648536	1.5062761506	2.0098039216	0.6442971555	1.3458989229
12	0.256916996	5	2	1	1	1	2.4166666667	0.8333333333	1.75	1.9063013699	0.6487671233	1.4449315068
13	0.2766798419	5	2	1	2	0	3.5146443515	0.9539748954	1.5313807531	2.6113537118	0.8358447629	1.5528015253
14	0.256916996	5	4	1	0	0	2.375	0.6875	1.9375	2.5768186112	0.6908360888	1.7323453
15	0.1547619048	3	2	0	0	1	1.1129707113	0.3682008368	0.5188284519	1.2352941176	0.3109243697	0.4537815126
16	0.1428571429	4	4	0	0	0	2.2880658436	0.4938271605	1.2181069959	2.0883338353	0.4974401446	1.4142260202
17	0.0431372549	1	1	0	0	0	0.6024590164	0.1475409836	0.25	0.619047619	0.1471861472	0.2337662338
18	0.0873015873	2	0	0	2	0	1.9294605809	0.2614107884	0.8091286307	1.2307692308	0.2564102564	0.5128205128
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0.1184210526	2	2	0	0	0	1.5104895105	0.2937062937	0.1958041958	1.3764944276	0.3173989131	0.3061066593
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0.037037037	1	1	0	0	0	0.7692307692	0.2307692308	0	0.8117154812	0.1882845188	0
