grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0.0395256917	2	0	1	1	0	0.6774193548	0.6048387097	0.7177419355	0	0	0
7	0.0434782609	1	1	0	0	0	0.4876033058	0.2355371901	0.2768595041	0	0	0
8	0.0592885375	3	1	1	1	0	1.1370967742	0.7379032258	1.125	0	0	0
9	0.1581027668	4	0	1	3	0	2.024691358	0.70781893	1.2674897119	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0
11	0.0515873016	1	0	1	0	0	0.9790794979	0.2677824268	0.7531380753	0.5371179039	0.1659388646	0.2969432314
12	0	0	0	0	0	0	0	0	0	0	0	0
13	0.1106719368	2	1	0	1	0	1.1715481172	0.3179916318	0.510460251	1.1565217391	0.2695652174	0.5739130435
14	0	0	0	0	0	0	0	0	0	0	0	0
15	0.0515873016	1	1	0	0	0	0.5564853556	0.1841004184	0.2594142259	0.6176470588	0.1554621849	0.2268907563
16	0	0	0	0	0	0	0	0	0	0	0	0
17	0.0431372549	1	1	0	0	0	0.6024590164	0.1475409836	0.25	0.619047619	0.1471861472	0.2337662338
18	0.0436507937	1	1	0	0	0	0.6473029046	0.0829875519	0.2697095436	0.7029288703	0.1171548117	0.179916318
19	0.0564516129	1	1	0	0	0	0.6794871795	0.1623931624	0.1581196581	0.7574468085	0.170212766	0.0723404255
20	0.0448979592	1	1	0	0	0	0.7222222222	0.1794871795	0.0982905983	0.8117154812	0.1882845188	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
