grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0.0039525692	1	0	0	1	0	0.1388888889	0.4841269841	0.376984127	0	0	0
3	0.0790513834	4	1	2	1	0	1.2580645161	1.5322580645	1.2096774194	0	0	0
4	0.1264822134	8	3	3	2	0	2.5381526104	2.6024096386	2.859437751	0	0	0
5	0.1106719368	7	5	1	0	1	2.4578313253	1.734939759	1.8072289157	0	0	0
6	0.0395256917	2	1	0	1	0	0.6774193548	0.6048387097	0.7177419355	0	0	0
7	0.0869565217	2	1	0	1	0	0.9752066116	0.4710743802	0.5537190083	0	0	0
8	0.0197628458	1	1	0	0	0	0.3790322581	0.2459677419	0.375	0	0	0
9	0.1185770751	3	2	0	1	0	1.5185185185	0.5308641975	0.950617284	0	0	0
10	0.023715415	1	1	0	0	0	0.3967611336	0.2226720648	0.3805668016	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0
16	0.0357142857	1	1	0	0	0	0.5720164609	0.1234567901	0.304526749	0.6153846154	0.1282051282	0.2564102564
17	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
