grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0.0039525692	1	0	0	1	0	0.1388888889	0.4841269841	0.376984127	#DIV/0!	#DIV/0!	#DIV/0!
3	0.0790513834	4	1	2	1	0	1.2580645161	1.5322580645	1.2096774194	#DIV/0!	#DIV/0!	#DIV/0!
4	0.1264822134	8	3	3	2	0	2.5381526104	2.6024096386	2.859437751	#DIV/0!	#DIV/0!	#DIV/0!
5	0.1264822134	8	5	1	1	1	2.8674698795	2.0240963855	2.1084337349	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0790513834	4	1	1	2	0	1.3548387097	1.2096774194	1.435483871	#DIV/0!	#DIV/0!	#DIV/0!
7	0.1304347826	3	2	0	1	0	1.4628099174	0.7066115702	0.8305785124	#DIV/0!	#DIV/0!	#DIV/0!
8	0.0790513834	4	2	1	1	0	1.5161290323	0.9838709677	1.5	#DIV/0!	#DIV/0!	#DIV/0!
9	0.2766798419	7	2	1	4	0	3.5432098765	1.2386831276	2.2181069959	3.0294117647	0.9188069594	2.0517812759
10	0.023715415	1	1	0	0	0	0.3967611336	0.2226720648	0.3805668016	0.46	0.16	0.38
11	0.0515873016	1	0	1	0	0	0.9790794979	0.2677824268	0.7531380753	0.5371179039	0.1659388646	0.2969432314
12	0	0	0	0	0	0	0	0	0	0	0	0
13	0.1106719368	2	1	0	1	0	1.1715481172	0.3179916318	0.510460251	1.1565217391	0.2695652174	0.5739130435
14	0	0	0	0	0	0	0	0	0	0	0	0
15	0.0515873016	1	1	0	0	0	0.5564853556	0.1841004184	0.2594142259	0.6176470588	0.1554621849	0.2268907563
16	0.0357142857	1	1	0	0	0	0.5720164609	0.1234567901	0.304526749	0.6153846154	0.1282051282	0.2564102564
17	0.0431372549	1	1	0	0	0	0.6024590164	0.1475409836	0.25	0.619047619	0.1471861472	0.2337662338
18	0.0436507937	1	1	0	0	0	0.643153527	0.0871369295	0.2697095436	0.6987447699	0.1213389121	0.179916318
19	0.0564516129	1	1	0	0	0	0.6794871795	0.1623931624	0.1581196581	0.7574468085	0.170212766	0.0723404255
20	0.0448979592	1	1	0	0	0	0.7222222222	0.1794871795	0.0982905983	0.8117154812	0.1882845188	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
