grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0513833992	13	0	11	2	0	0	10.1111111111	2.8888888889	#DIV/0!	#DIV/0!	#DIV/0!
2	0.04743083	12	0	10	2	0	1.6666666667	5.8095238095	4.5238095238	#DIV/0!	#DIV/0!	#DIV/0!
3	0.1383399209	7	0	5	2	0	2.2016129032	2.6814516129	2.1169354839	#DIV/0!	#DIV/0!	#DIV/0!
4	0.0632411067	4	1	2	1	0	1.2690763052	1.3012048193	1.4297188755	#DIV/0!	#DIV/0!	#DIV/0!
5	0.0790513834	5	1	2	2	0	2.0481927711	1.4457831325	1.5060240964	#DIV/0!	#DIV/0!	#DIV/0!
6	0.1383399209	7	2	2	3	0	2.3709677419	2.1169354839	2.5120967742	#DIV/0!	#DIV/0!	#DIV/0!
7	0.1739130435	4	2	1	1	0	1.9504132231	0.9421487603	1.1074380165	#DIV/0!	#DIV/0!	#DIV/0!
8	0.256916996	13	8	3	1	1	4.5483870968	2.9516129032	4.5	#DIV/0!	#DIV/0!	#DIV/0!
9	0.2766798419	7	3	3	1	0	3.5432098765	1.2386831276	2.2181069959	#DIV/0!	#DIV/0!	#DIV/0!
10	0.2134387352	9	6	1	2	0	3.5708502024	2.004048583	3.4251012146	#DIV/0!	#DIV/0!	#DIV/0!
11	0.2579365079	5	4	0	1	0	2.4476987448	0.6694560669	1.8828451883	2.5294117647	0.7497928749	1.7207953604
12	0.1027667984	2	2	0	0	0	1.45	0.5	1.05	0.92	0.32	0.76
13	0.3873517787	7	4	2	1	0	4.10041841	1.1129707113	1.7866108787	3.6565217391	1.1146356399	2.2288426209
14	0.256916996	5	4	0	1	0	2.375	0.6875	1.9375	2.5074410625	0.7492115191	1.7433474184
15	0.0515873016	1	1	0	0	0	0.5564853556	0.1841004184	0.2594142259	0.5371179039	0.1659388646	0.2969432314
16	0	0	0	0	0	0	0	0	0	0	0	0
17	0.0431372549	1	0	0	1	0	0.6024590164	0.1475409836	0.25	0.5782608696	0.1347826087	0.2869565217
18	0.0436507937	1	1	0	0	0	0.643153527	0.0871369295	0.2697095436	0.6987447699	0.1213389121	0.179916318
19	0.1129032258	2	2	0	0	0	1.358974359	0.3247863248	0.3162393162	1.514893617	0.3404255319	0.1446808511
20	0.0448979592	1	0	1	0	0	0.7222222222	0.1794871795	0.0982905983	0.8117154812	0.1882845188	0
21	0.0592105263	1	1	0	0	0	0.7552447552	0.1468531469	0.0979020979	0.619047619	0.1471861472	0.2337662338
22	0.0132450331	2	2	0	0	0	1.5466666667	0.3466666667	0.1066666667	1.510460251	0.309623431	0.179916318
23	0	1	1	0	0	0	0.6964285714	0.2321428571	0.0714285714	0.7574468085	0.170212766	0.0723404255
24	0.037037037	1	1	0	0	0	0.7692307692	0.2307692308	0	0.8117154812	0.1882845188	0
