grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
7	0.0869565217	2	1	1	0	0	0.9752066116	0.4710743802	0.5537190083	1.0196078431	0.2745098039	0.7058823529
8	0	0	0	0	0	0	0	0	0	0	0	0
9	0.0790513834	2	2	0	0	0	1.012345679	0.353909465	0.633744856	1	0.338028169	0.661971831
10	0.04743083	2	2	0	0	0	0.7935222672	0.4453441296	0.7611336032	0.9863013699	0.3287671233	0.6849315068
11	0.0515873016	1	1	0	0	0	0.489539749	0.1338912134	0.3765690377	0.5371179039	0.1659388646	0.2969432314
12	0	0	0	0	0	0	0	0	0	0	0	0
13	0.0553359684	1	0	1	0	0	0.5857740586	0.1589958159	0.2552301255	0.5782608696	0.1347826087	0.2869565217
14	0.0513833992	1	1	0	0	0	0.475	0.1375	0.3875	0.5301724138	0.1206896552	0.349137931
15	0.0515873016	1	0	1	0	0	0.5564853556	0.1841004184	0.2594142259	0.6176470588	0.1554621849	0.2268907563
16	0	0	0	0	0	0	0	0	0	0	0	0
17	0.0862745098	2	2	0	0	0	1.2049180328	0.2950819672	0.5	1.2366946779	0.3026483321	0.4606569901
18	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0.1795918367	4	3	1	0	0	2.8888888889	0.7179487179	0.3931623932	2.7949790795	0.4853556485	0.719665272
21	0.0592105263	1	1	0	0	0	0.7552447552	0.1468531469	0.0979020979	0.7574468085	0.170212766	0.0723404255
22	0.0198675497	3	3	0	0	0	2.32	0.52	0.16	2.4351464435	0.5648535565	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
