grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0.0632411067	4	1	2	0	1	0.9518072289	0.9759036145	1.0722891566	#DIV/0!	#DIV/0!	#DIV/0!
5	0.0632411067	4	1	1	2	0	1.6385542169	1.156626506	1.2048192771	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0790513834	4	1	0	3	0	1.3548387097	1.2096774194	1.435483871	#DIV/0!	#DIV/0!	#DIV/0!
7	0.5217391304	12	7	4	1	0	5.8512396694	2.826446281	3.3223140496	#DIV/0!	#DIV/0!	#DIV/0!
8	0.2173913043	11	6	2	3	0	4.1693548387	2.7056451613	4.125	#DIV/0!	#DIV/0!	#DIV/0!
9	0.4743083004	12	7	0	5	0	6.0740740741	2.1234567901	3.8024691358	#DIV/0!	#DIV/0!	#DIV/0!
10	0.1897233202	8	3	2	2	1	2.7773279352	1.5587044534	2.6639676113	#DIV/0!	#DIV/0!	#DIV/0!
11	0.6706349206	13	7	3	3	0	6.3640167364	1.7405857741	4.8953974895	6.75614425	2.0553731956	4.1884825544
12	0.5652173913	11	5	2	3	1	5.3166666667	1.8333333333	3.85	4.7657534247	1.6219178082	3.6123287671
13	0.6086956522	11	9	1	1	0	6.4435146444	1.7489539749	2.8075313808	6.0728688058	1.7007024872	3.226428707
14	0.2055335968	4	3	0	0	1	2.375	0.6875	1.9375	1.4841179637	0.4641383023	1.0517437339
15	0.5158730159	10	7	2	1	0	6.1213389121	2.0251046025	2.8535564854	5.5751370911	1.5554431987	2.8694197102
16	0.1785714286	5	2	1	2	0	2.8600823045	0.6172839506	1.5226337449	2.5861504292	0.6328113236	1.7810382473
17	0.2156862745	5	3	1	1	0	3.012295082	0.737704918	1.25	2.9306905371	0.6945926197	1.3747168433
18	0.1746031746	4	4	0	0	0	2.5726141079	0.3485477178	1.0788381743	2.8245896363	0.5591674713	0.6162428924
19	0.0564516129	1	1	0	0	0	0.6794871795	0.1623931624	0.1581196581	0.619047619	0.1471861472	0.2337662338
20	0.0448979592	1	0	1	0	0	0.7222222222	0.1794871795	0.0982905983	0.6153846154	0.1282051282	0.2564102564
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0.0066225166	1	1	0	0	0	0.7733333333	0.1733333333	0.0533333333	0.8117154812	0.1882845188	0
23	0	1	1	0	0	0	0.6964285714	0.2321428571	0.0714285714	0.7574468085	0.170212766	0.0723404255
24	0	0	0	0	0	0	0	0	0	0	0	0
