grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0.0632411067	4	1	2	0	1	0.9518072289	0.9759036145	1.0722891566	#DIV/0!	#DIV/0!	#DIV/0!
5	0.0632411067	4	1	1	2	0	1.6385542169	1.156626506	1.2048192771	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0790513834	4	1	0	3	0	1.3548387097	1.2096774194	1.435483871	#DIV/0!	#DIV/0!	#DIV/0!
7	0.5217391304	12	7	4	1	0	5.8512396694	2.826446281	3.3223140496	#DIV/0!	#DIV/0!	#DIV/0!
8	0.2173913043	11	6	2	3	0	4.1693548387	2.7056451613	4.125	#DIV/0!	#DIV/0!	#DIV/0!
9	0.4347826087	11	6	0	5	0	5.5679012346	1.9465020576	3.4855967078	#DIV/0!	#DIV/0!	#DIV/0!
10	0.1660079051	7	3	2	1	1	2.3805668016	1.3360323887	2.2834008097	2.8263013699	0.9687671233	2.2049315068
11	0.5674603175	11	6	2	3	0	5.3849372385	1.4728033473	4.1422594142	5.7365364069	1.7808633917	3.4826002014
12	0.4110671937	8	4	2	1	1	3.8666666667	1.3333333333	2.8	3.3857534247	1.1419178082	2.4723287671
13	0.5533596838	10	9	1	0	0	5.8577405858	1.589958159	2.5523012552	5.5357509018	1.5347636226	2.9294854756
14	0.2055335968	4	3	0	0	1	2.375	0.6875	1.9375	1.4841179637	0.4641383023	1.0517437339
15	0.3611111111	7	6	1	0	0	4.4518828452	1.4728033473	2.0753138075	3.9637833793	1.0576266048	1.9785900158
16	0.1071428571	3	2	0	1	0	1.7160493827	0.3703703704	0.9135802469	1.5905172414	0.3620689655	1.0474137931
17	0.0862745098	2	2	0	0	0	1.2049180328	0.2950819672	0.5	1.1959079284	0.2902447936	0.513847278
18	0.1746031746	4	4	0	0	0	2.5726141079	0.3485477178	1.0788381743	2.8245896363	0.5591674713	0.6162428924
19	0.0564516129	1	1	0	0	0	0.6794871795	0.1623931624	0.1581196581	0.619047619	0.1471861472	0.2337662338
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0.0066225166	1	1	0	0	0	0.7733333333	0.1733333333	0.0533333333	0.8117154812	0.1882845188	0
23	0	1	1	0	0	0	0.6964285714	0.2321428571	0.0714285714	0.7574468085	0.170212766	0.0723404255
24	0	0	0	0	0	0	0	0	0	0	0	0
