grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0.0395256917	2	2	0	0	0	0.6774193548	0.6048387097	0.7177419355	0	0	0
7	0.1304347826	3	1	0	1	1	0.9752066116	0.4710743802	0.5537190083	0	0	0
8	0.0395256917	2	1	1	0	0	0.7580645161	0.4919354839	0.75	0	0	0
9	0.0790513834	2	1	1	0	0	1.012345679	0.353909465	0.633744856	0	0	0
10	0.1897233202	8	1	3	4	0	3.1740890688	1.7813765182	3.044534413	0	0	0
11	0.1031746032	2	1	0	1	0	0.9790794979	0.2677824268	0.7531380753	1.0196078431	0.2745098039	0.7058823529
12	0.1541501976	3	1	1	1	0	1.45	0.5	1.05	1.38	0.48	1.14
13	0.1106719368	2	1	0	0	1	0.5857740586	0.1589958159	0.2552301255	0.5	0.1690140845	0.3309859155
14	0.2055335968	4	2	0	2	0	1.9	0.55	1.55	1.9726027397	0.6575342466	1.3698630137
15	0.1031746032	2	2	0	0	0	1.1129707113	0.3682008368	0.5188284519	1.0742358079	0.3318777293	0.5938864629
16	0.0357142857	1	1	0	0	0	0.5720164609	0.1234567901	0.304526749	0.4978165939	0.135371179	0.3668122271
17	0.0431372549	1	1	0	0	0	0.6024590164	0.1475409836	0.25	0.5782608696	0.1347826087	0.2869565217
18	0.4801587302	11	4	1	5	1	6.4730290456	0.8298755187	2.6970954357	5.3017241379	1.2068965517	3.4913793103
19	0.3951612903	7	3	2	2	0	4.7564102564	1.1367521368	1.1068376068	4.324929972	1.0799592564	1.5951107716
20	0.1795918367	4	3	1	0	0	3.6111111111	0.8974358974	0.4914529915	2.4615384615	0.5128205128	1.0256410256
21	0.0592105263	1	1	0	0	0	0.7552447552	0.1468531469	0.0979020979	0.619047619	0.1471861472	0.2337662338
22	0.0066225166	1	1	0	0	0	0.7733333333	0.1733333333	0.0533333333	0.7029288703	0.1171548117	0.179916318
23	0	1	1	0	0	0	0.6964285714	0.2321428571	0.0714285714	0.7574468085	0.170212766	0.0723404255
24	0	0	0	0	0	0	0	0	0	0	0	0
