grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0592885375	15	0	15	0	0	0	11.6666666667	3.3333333333	#DIV/0!	#DIV/0!	#DIV/0!
2	0.0671936759	17	1	10	6	0	2.3611111111	8.2301587302	6.4087301587	#DIV/0!	#DIV/0!	#DIV/0!
3	0.5533596838	28	9	13	6	0	8.8064516129	10.7258064516	8.4677419355	#DIV/0!	#DIV/0!	#DIV/0!
4	0.4268774704	27	12	5	9	1	8.2489959839	8.4578313253	9.2931726908	#DIV/0!	#DIV/0!	#DIV/0!
5	0.3636363636	23	8	6	9	0	9.421686747	6.6506024096	6.9277108434	#DIV/0!	#DIV/0!	#DIV/0!
6	0.395256917	20	8	6	5	1	6.435483871	5.7459677419	6.8185483871	#DIV/0!	#DIV/0!	#DIV/0!
7	0.6086956522	14	12	1	1	0	6.826446281	3.2975206612	3.8760330579	#DIV/0!	#DIV/0!	#DIV/0!
8	0.256916996	13	7	3	3	0	4.9274193548	3.1975806452	4.875	#DIV/0!	#DIV/0!	#DIV/0!
9	0.3162055336	8	6	0	1	1	3.5432098765	1.2386831276	2.2181069959	3.5294117647	1.0878210439	2.3827671914
10	0.2845849802	12	6	2	4	0	4.7611336032	2.6720647773	4.5668016194	#DIV/0!	#DIV/0!	#DIV/0!
11	0.4642857143	9	6	1	2	0	4.8953974895	1.3389121339	3.7656903766	4.6211576334	1.4801419184	2.8987004483
12	0.3083003953	6	5	0	1	0	2.9	1	2.1	2.9066004666	0.8904970988	2.2029024346
13	0.1660079051	3	2	1	0	0	1.7573221757	0.4769874477	0.7656903766	1.6936396431	0.435504082	0.8708562749
14	0.1541501976	3	1	1	0	1	0.95	0.275	0.775	1.0279890077	0.2560608342	0.7159501581
15	0.0515873016	1	1	0	0	0	0.5564853556	0.1841004184	0.2594142259	0.5782608696	0.1347826087	0.2869565217
16	0.1428571429	4	4	0	0	0	2.2880658436	0.4938271605	1.2181069959	2.2911140584	0.4977895668	1.2110963749
17	0.0862745098	2	2	0	0	0	1.2049180328	0.2950819672	0.5	1.2366946779	0.3026483321	0.4606569901
18	0.0873015873	2	1	0	0	1	0.643153527	0.0871369295	0.2697095436	0.6987447699	0.1213389121	0.179916318
19	0.1129032258	2	2	0	0	0	1.358974359	0.3247863248	0.3162393162	1.514893617	0.3404255319	0.1446808511
20	0.0448979592	1	1	0	0	0	0.7222222222	0.1794871795	0.0982905983	0.8117154812	0.1882845188	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0.0132450331	2	1	0	0	1	0.7733333333	0.1733333333	0.0533333333	0.8117154812	0.1882845188	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
