grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0355731225	9	0	9	0	0	0	7	2	#DIV/0!	#DIV/0!	#DIV/0!
2	0.0197628458	5	1	4	0	0	0.6944444444	2.4206349206	1.8849206349	#DIV/0!	#DIV/0!	#DIV/0!
3	0.0988142292	5	2	3	0	0	1.5725806452	1.9153225806	1.5120967742	#DIV/0!	#DIV/0!	#DIV/0!
4	0.04743083	3	3	0	0	0	0.9518072289	0.9759036145	1.0722891566	#DIV/0!	#DIV/0!	#DIV/0!
5	0.0790513834	5	3	2	0	0	2.0481927711	1.4457831325	1.5060240964	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0592885375	3	0	2	0	1	0.6774193548	0.6048387097	0.7177419355	#DIV/0!	#DIV/0!	#DIV/0!
7	0.1739130435	4	3	0	1	0	1.9504132231	0.9421487603	1.1074380165	#DIV/0!	#DIV/0!	#DIV/0!
8	0.0395256917	2	1	0	1	0	0.7580645161	0.4919354839	0.75	#DIV/0!	#DIV/0!	#DIV/0!
9	0.1581027668	4	3	0	0	1	1.5185185185	0.5308641975	0.950617284	1.5098039216	0.475283071	1.0149130075
10	0.0948616601	4	2	0	2	0	1.5870445344	0.8906882591	1.5222672065	1.9726027397	0.6575342466	1.3698630137
11	0.1031746032	2	1	1	0	0	0.9790794979	0.2677824268	0.7531380753	1.0371179039	0.3349529491	0.6279291469
12	0.1027667984	2	2	0	0	0	0.9666666667	0.3333333333	0.7	0.9956331878	0.2707423581	0.7336244541
13	0.1106719368	2	2	0	0	0	1.1715481172	0.3179916318	0.510460251	1.1565217391	0.2695652174	0.5739130435
14	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0
17	0.0431372549	1	1	0	0	0	0.6024590164	0.1475409836	0.25	0.619047619	0.1471861472	0.2337662338
18	0	0	0	0	0	0	0	0	0	0	0	0
19	0.0564516129	1	1	0	0	0	0.6794871795	0.1623931624	0.1581196581	0.7574468085	0.170212766	0.0723404255
20	0.0448979592	1	1	0	0	0	0.7222222222	0.1794871795	0.0982905983	0.8117154812	0.1882845188	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0.0066225166	1	1	0	0	0	0.7733333333	0.1733333333	0.0533333333	0.8117154812	0.1882845188	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
