grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0.0316205534	2	1	0	1	0	0.8192771084	0.578313253	0.6024096386	0	0	0
6	0.0395256917	2	0	1	1	0	0.6774193548	0.6048387097	0.7177419355	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0
8	0.0395256917	2	2	0	0	0	0.7580645161	0.4919354839	0.75	0	0	0
9	0.1976284585	5	2	2	1	0	2.5308641975	0.8847736626	1.5843621399	0	0	0
10	0.1660079051	7	2	3	2	0	2.7773279352	1.5587044534	2.6639676113	0	0	0
11	0.4126984127	8	5	1	2	0	3.9163179916	1.0711297071	3.0125523013	4.0490196078	1.1933167633	2.7576636288
12	0.5652173913	11	2	1	8	0	5.3166666667	1.8333333333	3.85	5.1926027397	1.7775342466	4.0298630137
13	0.1106719368	2	1	1	0	0	1.7573221757	0.4769874477	0.7656903766	1	0.338028169	0.661971831
14	0.256916996	5	4	1	0	0	2.375	0.6875	1.9375	2.4704193336	0.7929054256	1.7366752408
15	0.2579365079	5	3	1	0	1	2.2259414226	0.7364016736	1.0376569038	2.2719005126	0.5702866907	1.1578127967
16	0.0714285714	2	2	0	0	0	1.1440329218	0.2469135802	0.6090534979	0.9956331878	0.2707423581	0.7336244541
17	0.1725490196	4	4	0	0	0	2.4098360656	0.5901639344	1	2.431202046	0.6011691633	0.9676287906
18	0.0436507937	1	1	0	0	0	0.6473029046	0.0829875519	0.2697095436	0.6153846154	0.1282051282	0.2564102564
19	0.0564516129	1	0	1	0	0	0.6794871795	0.1623931624	0.1581196581	0.7574468085	0.170212766	0.0723404255
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0.0592105263	1	1	0	0	0	0.7552447552	0.1468531469	0.0979020979	0.7574468085	0.170212766	0.0723404255
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
