grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0039525692	1	0	1	0	0	0	0.7777777778	0.2222222222	#DIV/0!	#DIV/0!	#DIV/0!
2	0.023715415	6	1	4	1	0	0.8333333333	2.9047619048	2.2619047619	#DIV/0!	#DIV/0!	#DIV/0!
3	0.1778656126	9	2	3	4	0	2.8306451613	3.4475806452	2.7217741935	#DIV/0!	#DIV/0!	#DIV/0!
4	0.1739130435	11	2	3	6	0	3.4899598394	3.578313253	3.9317269076	#DIV/0!	#DIV/0!	#DIV/0!
5	0.2529644269	16	6	2	8	0	6.5542168675	4.6265060241	4.8192771084	#DIV/0!	#DIV/0!	#DIV/0!
6	0.2173913043	11	3	3	4	1	3.3870967742	3.0241935484	3.5887096774	#DIV/0!	#DIV/0!	#DIV/0!
7	0.2608695652	6	1	2	3	0	2.9256198347	1.4132231405	1.6611570248	#DIV/0!	#DIV/0!	#DIV/0!
8	0.0592885375	3	1	0	2	0	1.1370967742	0.7379032258	1.125	#DIV/0!	#DIV/0!	#DIV/0!
9	0.1976284585	5	0	2	3	0	2.5308641975	0.8847736626	1.5843621399	2.5665296686	0.746717655	1.6867526763
10	0.1422924901	6	2	2	2	0	2.3805668016	1.3360323887	2.2834008097	2.8926027397	0.9775342466	2.1298630137
11	0.2063492063	4	2	1	1	0	1.9581589958	0.5355648536	1.5062761506	2.0098039216	0.6442971555	1.3458989229
12	0.1541501976	3	1	0	2	0	1.45	0.5	1.05	1.4463013699	0.4887671233	1.0649315068
13	0.1660079051	3	2	1	0	0	1.7573221757	0.4769874477	0.7656903766	1.6113537118	0.4978165939	0.8908296943
14	0.2055335968	4	2	0	2	0	1.9	0.55	1.55	1.9772686487	0.628521864	1.3942094873
15	0.3095238095	6	3	2	1	0	3.3389121339	1.1046025105	1.5564853556	3.2227074236	0.9956331878	1.7816593886
16	0.1071428571	3	3	0	0	0	1.7160493827	0.3703703704	0.9135802469	1.5258056016	0.3914320133	1.0827623852
17	0.0431372549	1	0	0	1	0	1.2049180328	0.2950819672	0.5	0.5782608696	0.1347826087	0.2869565217
18	0.130952381	3	2	0	1	0	1.9294605809	0.2614107884	0.8091286307	1.7590895975	0.3627182225	0.8781921801
19	0.2258064516	4	4	0	0	0	2.7179487179	0.6495726496	0.6324786325	2.8913880446	0.6578244451	0.4507875104
20	0.0897959184	2	1	0	1	0	1.4444444444	0.358974359	0.1965811966	1.4271000966	0.316489647	0.2564102564
21	0.0592105263	1	1	0	0	0	0.7552447552	0.1468531469	0.0979020979	0.619047619	0.1471861472	0.2337662338
22	0.0264900662	4	1	0	3	0	3.0933333333	0.6933333333	0.2133333333	2.7949790795	0.4853556485	0.719665272
23	0	4	3	0	1	0	2.7857142857	0.9285714286	0.2857142857	3.029787234	0.6808510638	0.2893617021
24	0.0740740741	2	1	1	0	0	1.5384615385	0.4615384615	0	1.6234309623	0.3765690377	0
