grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0.0079051383	2	0	1	1	0	0.2777777778	0.9682539683	0.753968254	0	0	0
3	0.0592885375	3	0	0	3	0	0.9435483871	1.1491935484	0.9072580645	0	0	0
4	0.0158102767	1	0	0	1	0	0.3172690763	0.3253012048	0.3574297189	0	0	0
5	0.0948616601	6	1	1	4	0	2.4578313253	1.734939759	1.8072289157	0.5098039216	0.137254902	0.3529411765
6	0.0988142292	5	0	2	3	0	1.6935483871	1.5120967742	1.7943548387	0	0	0
7	0.1304347826	3	0	2	1	0	1.4628099174	0.7066115702	0.8305785124	0	0	0
8	0.0395256917	2	1	0	1	0	0.7580645161	0.4919354839	0.75	0	0	0
9	0.1581027668	4	0	1	3	0	2.024691358	0.70781893	1.2674897119	2.0665296686	0.5777035705	1.3557667609
10	0.04743083	2	0	1	1	0	0.7935222672	0.4453441296	0.7611336032	0.92	0.32	0.76
11	0.2063492063	4	2	1	1	0	1.9581589958	0.5355648536	1.5062761506	2.0098039216	0.6442971555	1.3458989229
12	0.1541501976	3	1	0	2	0	1.45	0.5	1.05	1.4463013699	0.4887671233	1.0649315068
13	0.1660079051	3	2	1	0	0	1.7573221757	0.4769874477	0.7656903766	1.6113537118	0.4978165939	0.8908296943
14	0.2055335968	4	2	0	2	0	1.9	0.55	1.55	1.9772686487	0.628521864	1.3942094873
15	0.3095238095	6	3	2	1	0	3.3389121339	1.1046025105	1.5564853556	3.2227074236	0.9956331878	1.7816593886
16	0.1071428571	3	3	0	0	0	1.7160493827	0.3703703704	0.9135802469	1.5258056016	0.3914320133	1.0827623852
17	0.0431372549	1	0	0	1	0	1.2049180328	0.2950819672	0.5	0.5782608696	0.1347826087	0.2869565217
18	0.0873015873	2	1	0	1	0	1.2863070539	0.1742738589	0.5394190871	1.0603448276	0.2413793103	0.6982758621
19	0.0564516129	1	1	0	0	0	0.6794871795	0.1623931624	0.1581196581	0.619047619	0.1471861472	0.2337662338
20	0.0897959184	2	1	0	1	0	1.4444444444	0.358974359	0.1965811966	1.4271000966	0.316489647	0.2564102564
21	0.0592105263	1	1	0	0	0	0.7552447552	0.1468531469	0.0979020979	0.619047619	0.1471861472	0.2337662338
22	0.0264900662	4	1	0	3	0	3.0933333333	0.6933333333	0.2133333333	2.7949790795	0.4853556485	0.719665272
23	0	4	3	0	1	0	2.7857142857	0.9285714286	0.2857142857	3.029787234	0.6808510638	0.2893617021
24	0.0740740741	2	1	1	0	0	1.5384615385	0.4615384615	0	1.6234309623	0.3765690377	0
