grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.1185770751	30	0	22	8	0	0	23.3333333333	6.6666666667	#DIV/0!	#DIV/0!	#DIV/0!
2	0.1185770751	30	4	13	12	1	4.0277777778	14.0396825397	10.9325396825	#DIV/0!	#DIV/0!	#DIV/0!
3	0.1778656126	9	5	2	2	0	2.8306451613	3.4475806452	2.7217741935	#DIV/0!	#DIV/0!	#DIV/0!
4	0.1739130435	11	3	4	4	0	3.4899598394	3.578313253	3.9317269076	#DIV/0!	#DIV/0!	#DIV/0!
5	0.1897233202	12	5	4	3	0	4.9156626506	3.4698795181	3.6144578313	#DIV/0!	#DIV/0!	#DIV/0!
6	0.4150197628	21	6	7	8	0	7.1129032258	6.3508064516	7.5362903226	#DIV/0!	#DIV/0!	#DIV/0!
7	0.9130434783	21	14	5	2	0	10.2396694215	4.9462809917	5.8140495868	#DIV/0!	#DIV/0!	#DIV/0!
8	0.1185770751	6	2	2	2	0	2.2741935484	1.4758064516	2.25	#DIV/0!	#DIV/0!	#DIV/0!
9	0.5138339921	13	5	2	5	1	6.0740740741	2.1234567901	3.8024691358	#DIV/0!	#DIV/0!	#DIV/0!
10	0.1660079051	7	3	1	3	0	2.7773279352	1.5587044534	2.6639676113	#DIV/0!	#DIV/0!	#DIV/0!
11	0.2579365079	5	2	0	3	0	2.4476987448	0.6694560669	1.8828451883	2.5469218255	0.8102360201	1.6428421544
12	0.3083003953	6	3	1	2	0	2.9	1	2.1	2.9257534247	0.9819178082	2.0923287671
13	0.3873517787	7	2	1	2	2	2.9288702929	0.7949790795	1.2761506276	2.6524966774	0.804688507	1.5428148156
14	0.3596837945	7	4	0	1	2	2.375	0.6875	1.9375	2.5491287003	0.6765052301	1.7743660696
15	0.3095238095	6	4	0	2	0	3.3389121339	1.1046025105	1.5564853556	3.5877237852	0.8707343807	1.5415418341
16	0.0714285714	2	2	0	0	0	1.1440329218	0.2469135802	0.6090534979	1.0603448276	0.2413793103	0.6982758621
17	0.0862745098	2	2	0	0	0	1.2049180328	0.2950819672	0.5	1.1959079284	0.2902447936	0.513847278
18	0.1746031746	4	3	0	1	0	2.5726141079	0.3485477178	1.0788381743	2.6282587705	0.4990880807	0.8726531488
19	0.0564516129	1	0	1	0	0	0.6794871795	0.1623931624	0.1581196581	0.7574468085	0.170212766	0.0723404255
20	0.0448979592	1	1	0	0	0	0.7222222222	0.1794871795	0.0982905983	0.8117154812	0.1882845188	0
21	0.1184210526	2	2	0	0	0	1.5104895105	0.2937062937	0.1958041958	1.3764944276	0.3173989131	0.3061066593
22	0.0066225166	1	1	0	0	0	0.7733333333	0.1733333333	0.0533333333	0.8117154812	0.1882845188	0
23	0	2	2	0	0	0	1.3928571429	0.4642857143	0.1428571429	1.514893617	0.3404255319	0.1446808511
24	0	0	0	0	0	0	0	0	0	0	0	0
