grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0.0158102767	1	0	0	1	0	0.4096385542	0.2891566265	0.3012048193	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0790513834	4	0	2	2	0	1.3548387097	1.2096774194	1.435483871	#DIV/0!	#DIV/0!	#DIV/0!
7	0.1304347826	3	1	2	0	0	1.4628099174	0.7066115702	0.8305785124	#DIV/0!	#DIV/0!	#DIV/0!
8	0.0790513834	4	2	1	1	0	1.5161290323	0.9838709677	1.5	#DIV/0!	#DIV/0!	#DIV/0!
9	0.0790513834	2	1	0	1	0	1.012345679	0.353909465	0.633744856	1	0.338028169	0.661971831
10	0.1660079051	7	3	1	2	1	2.3805668016	1.3360323887	2.2834008097	2.8926027397	0.9775342466	2.1298630137
11	0.2579365079	5	1	1	3	0	2.4476987448	0.6694560669	1.8828451883	2.6113537118	0.8358447629	1.5528015253
12	0.1541501976	3	3	0	0	0	1.45	0.5	1.05	1.4934497817	0.4061135371	1.1004366812
13	0.1106719368	2	0	0	0	2	0	0	0	0	0	0
14	0.256916996	5	4	1	0	0	2.375	0.6875	1.9375	2.5861504292	0.6328113236	1.7810382473
15	0.2579365079	5	4	0	1	0	3.3389121339	1.1046025105	1.5564853556	2.9306905371	0.6945926197	1.3747168433
16	0.0714285714	2	2	0	0	0	1.1440329218	0.2469135802	0.6090534979	1.1455570292	0.2488947834	0.6055481874
17	0.0431372549	1	1	0	0	0	0.6024590164	0.1475409836	0.25	0.619047619	0.1471861472	0.2337662338
18	0.0436507937	1	0	1	0	0	0.643153527	0.0871369295	0.2697095436	0.6153846154	0.1282051282	0.2564102564
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0.1346938776	3	3	0	0	0	2.1666666667	0.5384615385	0.2948717949	2.3221757322	0.4979079498	0.179916318
21	0.0592105263	1	1	0	0	0	0.7552447552	0.1468531469	0.0979020979	0.7574468085	0.170212766	0.0723404255
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
