grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0
11	0.0515873016	1	1	0	0	0	0.489539749	0.1338912134	0.3765690377	0.5	0.1690140845	0.3309859155
12	0.0513833992	1	0	1	0	0	0.4833333333	0.1666666667	0.35	0.4931506849	0.1643835616	0.3424657534
13	0.0553359684	1	0	0	0	1	0	0	0	0	0	0
14	0.0513833992	1	1	0	0	0	0.475	0.1375	0.3875	0.4978165939	0.135371179	0.3668122271
15	0.2063492063	4	2	1	1	0	2.2259414226	0.7364016736	1.0376569038	2.3130434783	0.5391304348	1.147826087
16	0.1428571429	4	3	1	0	0	2.2880658436	0.4938271605	1.2181069959	2.1206896552	0.4827586207	1.3965517241
17	0.2156862745	5	3	1	1	0	3.012295082	0.737704918	1.25	3.0882352941	0.7773109244	1.1344537815
18	0.2182539683	5	5	0	0	0	3.2365145228	0.4149377593	1.3485477178	3.0769230769	0.641025641	1.2820512821
19	0.1693548387	3	2	0	0	1	1.358974359	0.3247863248	0.3162393162	1.2380952381	0.2943722944	0.4675324675
20	0.0897959184	2	2	0	0	0	1.4444444444	0.358974359	0.1965811966	1.4058577406	0.2343096234	0.359832636
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0.0066225166	1	1	0	0	0	0.7733333333	0.1733333333	0.0533333333	0.8117154812	0.1882845188	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
