grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0.0039525692	1	0	0	1	0	0.1388888889	0.4841269841	0.376984127	#DIV/0!	#DIV/0!	#DIV/0!
3	0.0197628458	1	0	0	0	1	0	0	0	0	0	0
4	0.0158102767	1	0	0	1	0	0.3172690763	0.3253012048	0.3574297189	#DIV/0!	#DIV/0!	#DIV/0!
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0.0395256917	2	1	0	1	0	0.6774193548	0.6048387097	0.7177419355	#DIV/0!	#DIV/0!	#DIV/0!
7	0.0434782609	1	0	0	1	0	0.4876033058	0.2355371901	0.2768595041	0.5098039216	0.137254902	0.3529411765
8	0.1778656126	9	2	3	4	0	3.4112903226	2.2137096774	3.375	#DIV/0!	#DIV/0!	#DIV/0!
9	0.1581027668	4	2	1	0	1	1.5185185185	0.5308641975	0.950617284	#DIV/0!	#DIV/0!	#DIV/0!
10	0.1185770751	5	2	0	3	0	1.983805668	1.1133603239	1.9028340081	#DIV/0!	#DIV/0!	#DIV/0!
11	0.5158730159	10	4	2	4	0	4.8953974895	1.3389121339	3.7656903766	5.1057453549	1.4647513474	3.4295032977
12	0.3083003953	6	2	2	2	0	2.9	1	2.1	2.8641179637	0.9441383023	2.1917437339
13	0.5533596838	10	8	0	2	0	5.8577405858	1.589958159	2.5523012552	5.381497448	1.6269813702	2.9915211817
14	0.3596837945	7	1	3	3	0	4.275	1.2375	3.4875	3.4753843393	1.0056230185	2.5189926422
15	0.5158730159	10	7	1	2	0	5.5648535565	1.8410041841	2.5941422594	5.7773383665	1.5033335833	2.7193280502
16	0.25	7	3	2	1	1	3.4320987654	0.7407407407	1.8271604938	3.3514588859	0.7391688771	1.909372237
17	0.3019607843	7	5	0	2	0	4.8196721311	1.1803278689	2	4.2461575935	1.0386001041	1.7152423025
18	0.2619047619	6	4	1	1	0	3.8589211618	0.5228215768	1.6182572614	4.1091084648	0.7348996889	1.1559918464
19	0.6774193548	12	7	2	2	1	7.4743589744	1.7863247863	1.7393162393	7.7769175755	1.7885099881	1.4345724363
20	0.6285714286	14	6	5	2	1	9.3888888889	2.3333333333	1.2777777778	9.6485355649	1.9121338912	1.4393305439
21	0.4736842105	8	6	1	0	1	5.2867132867	1.027972028	0.6853146853	5.3021276596	1.1914893617	0.5063829787
22	0.0264900662	4	4	0	0	0	3.0933333333	0.6933333333	0.2133333333	3.1338912134	0.6861924686	0.179916318
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
