grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0079051383	2	0	2	0	0	0	1.5555555556	0.4444444444	#DIV/0!	#DIV/0!	#DIV/0!
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0.0395256917	2	0	0	1	1	0.314516129	0.3830645161	0.3024193548	#DIV/0!	#DIV/0!	#DIV/0!
4	0.0158102767	1	1	0	0	0	0.3172690763	0.3253012048	0.3574297189	#DIV/0!	#DIV/0!	#DIV/0!
5	0.0316205534	2	1	1	0	0	0.8192771084	0.578313253	0.6024096386	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0395256917	2	2	0	0	0	0.6774193548	0.6048387097	0.7177419355	#DIV/0!	#DIV/0!	#DIV/0!
7	0.0434782609	1	1	0	0	0	0.4876033058	0.2355371901	0.2768595041	0.5098039216	0.137254902	0.3529411765
8	0.0197628458	1	1	0	0	0	0.3790322581	0.2459677419	0.375	0.46	0.16	0.38
9	0.1976284585	5	5	0	0	0	2.5308641975	0.8847736626	1.5843621399	2.5	0.8450704225	1.6549295775
10	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0.0448979592	1	1	0	0	0	0.7222222222	0.1794871795	0.0982905983	0.8117154812	0.1882845188	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
