grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0039525692	1	0	0	1	0	0	0.7777777778	0.2222222222	#DIV/0!	#DIV/0!	#DIV/0!
2	0.0276679842	7	0	5	2	0	0.9722222222	3.3888888889	2.6388888889	#DIV/0!	#DIV/0!	#DIV/0!
3	0.0988142292	5	0	3	2	0	1.5725806452	1.9153225806	1.5120967742	#DIV/0!	#DIV/0!	#DIV/0!
4	0.1422924901	9	2	2	4	1	2.5381526104	2.6024096386	2.859437751	#DIV/0!	#DIV/0!	#DIV/0!
5	0.0948616601	6	3	3	0	0	2.4578313253	1.734939759	1.8072289157	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0988142292	5	0	2	3	0	1.6935483871	1.5120967742	1.7943548387	#DIV/0!	#DIV/0!	#DIV/0!
7	0.347826087	8	4	1	2	1	3.4132231405	1.6487603306	1.9380165289	#DIV/0!	#DIV/0!	#DIV/0!
8	0.2371541502	12	4	0	8	0	4.5483870968	2.9516129032	4.5	#DIV/0!	#DIV/0!	#DIV/0!
9	0.3557312253	9	3	1	4	1	4.049382716	1.4156378601	2.5349794239	4.0490196078	1.1933167633	2.7576636288
10	0.04743083	2	0	1	1	0	0.7935222672	0.4453441296	0.7611336032	0.92	0.32	0.76
11	0.2063492063	4	1	0	3	0	2.4476987448	0.6694560669	1.8828451883	2.1113537118	0.6668306784	1.2218156098
12	0.1541501976	3	1	1	1	0	1.45	0.5	1.05	1.4841179637	0.4641383023	1.0517437339
13	0.0553359684	1	0	1	0	0	0.5857740586	0.1589958159	0.2552301255	0.5371179039	0.1659388646	0.2969432314
14	0.3083003953	6	2	0	4	0	2.85	0.825	2.325	3.1163228429	0.7535009788	2.1301761783
15	0.0515873016	1	0	0	1	0	0.5564853556	0.1841004184	0.2594142259	0.5371179039	0.1659388646	0.2969432314
16	0	0	0	0	0	0	0	0	0	0	0	0
17	0.1725490196	4	4	0	0	0	2.4098360656	0.5901639344	1	2.393216417	0.5722135495	1.0345700335
18	0.4365079365	10	4	2	4	0	7.0746887967	0.9585062241	2.9668049793	5.6388688501	1.2081950656	3.1529360843
19	0.6209677419	11	7	1	3	0	7.4743589744	1.7863247863	1.7393162393	6.9339173967	1.7248346147	2.3412479886
20	0.6285714286	14	9	2	2	1	9.3888888889	2.3333333333	1.2777777778	8.3630511748	1.7130136251	2.9239352001
21	0.1776315789	3	2	0	1	0	2.2657342657	0.4405594406	0.2937062937	1.8571428571	0.4415584416	0.7012987013
22	0.0132450331	2	2	0	0	0	1.5466666667	0.3466666667	0.1066666667	1.6234309623	0.3765690377	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
