grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0.0197628458	1	0	0	1	0	0.3387096774	0.3024193548	0.3588709677	#DIV/0!	#DIV/0!	#DIV/0!
7	0.0869565217	2	0	1	1	0	0.9752066116	0.4710743802	0.5537190083	#DIV/0!	#DIV/0!	#DIV/0!
8	0.0592885375	3	1	0	2	0	1.1370967742	0.7379032258	1.125	#DIV/0!	#DIV/0!	#DIV/0!
9	0.1185770751	3	1	0	2	0	1.5185185185	0.5308641975	0.950617284	1.0196078431	0.2745098039	0.7058823529
10	0.0948616601	4	1	1	2	0	1.5870445344	0.8906882591	1.5222672065	1.8731506849	0.6443835616	1.4824657534
11	0.0515873016	1	0	0	1	0	0.489539749	0.1338912134	0.3765690377	0.5	0.1690140845	0.3309859155
12	0.3083003953	6	1	1	4	0	2.9	1	2.1	2.9589041096	0.9863013699	2.0547945205
13	0.1660079051	3	2	0	1	0	1.7573221757	0.4769874477	0.7656903766	1.6113537118	0.4978165939	0.8908296943
14	0.4110671937	8	2	0	6	0	3.8	1.1	3.1	4.0907689547	1.1338281467	2.7754028986
15	0.2063492063	4	2	0	2	0	2.2259414226	0.7364016736	1.0376569038	2.2715442965	0.6138464851	1.1146092184
16	0.2857142857	8	2	2	4	0	4.5761316872	0.987654321	2.4362139918	4.0796002108	1.0389248607	2.8814749285
17	0.2156862745	5	2	1	2	0	3.012295082	0.737704918	1.25	2.9700767263	0.7152721958	1.3146510778
18	0.130952381	3	2	0	1	0	2.5726141079	0.3485477178	1.0788381743	1.675729443	0.3695844385	0.9546861185
19	0.1129032258	2	2	0	0	0	1.358974359	0.3247863248	0.3162393162	1.2352941176	0.3109243697	0.4537815126
20	0.0448979592	1	1	0	0	0	0.7222222222	0.1794871795	0.0982905983	0.6987447699	0.1213389121	0.179916318
21	0.0592105263	1	1	0	0	0	0.7552447552	0.1468531469	0.0979020979	0.7574468085	0.170212766	0.0723404255
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	1	1	0	0	0	0.6964285714	0.2321428571	0.0714285714	0.7574468085	0.170212766	0.0723404255
24	0.037037037	1	0	1	0	0	0.7692307692	0.2307692308	0	0.8117154812	0.1882845188	0
