grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.1897233202	48	0	39	9	0	0	37.3333333333	10.6666666667	#DIV/0!	#DIV/0!	#DIV/0!
2	0.1185770751	30	8	14	8	0	4.1666666667	14.5238095238	11.3095238095	#DIV/0!	#DIV/0!	#DIV/0!
3	0.5731225296	29	15	8	5	1	8.8064516129	10.7258064516	8.4677419355	#DIV/0!	#DIV/0!	#DIV/0!
4	0.2371541502	15	5	3	7	0	4.7590361446	4.8795180723	5.3614457831	#DIV/0!	#DIV/0!	#DIV/0!
5	0.0948616601	6	1	4	0	1	2.0481927711	1.4457831325	1.5060240964	#DIV/0!	#DIV/0!	#DIV/0!
6	0.2371541502	12	6	2	4	0	4.064516129	3.6290322581	4.3064516129	#DIV/0!	#DIV/0!	#DIV/0!
7	0.2173913043	5	1	1	2	1	1.9504132231	0.9421487603	1.1074380165	#DIV/0!	#DIV/0!	#DIV/0!
8	0.0988142292	5	2	1	1	1	1.5161290323	0.9838709677	1.5	#DIV/0!	#DIV/0!	#DIV/0!
9	0.3162055336	8	4	2	1	1	3.5432098765	1.2386831276	2.2181069959	#DIV/0!	#DIV/0!	#DIV/0!
10	0.0948616601	4	1	1	2	0	1.5870445344	0.8906882591	1.5222672065	#DIV/0!	#DIV/0!	#DIV/0!
11	0.1547619048	3	0	1	2	0	1.4686192469	0.4016736402	1.129707113	1.5469218255	0.4722078511	0.9808703234
12	0.1541501976	3	0	2	1	0	1.45	0.5	1.05	1.4841179637	0.4641383023	1.0517437339
13	0.1660079051	3	3	0	0	0	1.7573221757	0.4769874477	0.7656903766	1.6936396431	0.435504082	0.8708562749
14	0.0513833992	1	0	1	0	0	0.475	0.1375	0.3875	0.5301724138	0.1206896552	0.349137931
15	0.2063492063	4	4	0	0	0	2.2259414226	0.7364016736	1.0376569038	2.3918158568	0.5804895871	1.0276945561
16	0.0714285714	2	0	0	2	0	1.1440329218	0.2469135802	0.6090534979	1.0603448276	0.2413793103	0.6982758621
17	0.0431372549	1	1	0	0	0	0.6024590164	0.1475409836	0.25	0.6176470588	0.1554621849	0.2268907563
18	0.1746031746	4	3	0	0	1	1.9294605809	0.2614107884	0.8091286307	2.1258448664	0.4378285592	0.4363265744
19	0.2258064516	4	2	1	0	1	2.0384615385	0.4871794872	0.4743589744	2.2723404255	0.5106382979	0.2170212766
20	0.0448979592	1	1	0	0	0	0.7222222222	0.1794871795	0.0982905983	0.6987447699	0.1213389121	0.179916318
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0.0066225166	1	1	0	0	0	0.7733333333	0.1733333333	0.0533333333	0.8117154812	0.1882845188	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0.037037037	1	1	0	0	0	0.7692307692	0.2307692308	0	0.8117154812	0.1882845188	0
