grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0197628458	5	0	4	1	0	0	3.8888888889	1.1111111111	#DIV/0!	#DIV/0!	#DIV/0!
2	0.0158102767	4	0	1	3	0	0.5555555556	1.9365079365	1.5079365079	#DIV/0!	#DIV/0!	#DIV/0!
3	0.0395256917	2	1	0	1	0	0.6290322581	0.7661290323	0.6048387097	#DIV/0!	#DIV/0!	#DIV/0!
4	0.04743083	3	0	1	2	0	0.9518072289	0.9759036145	1.0722891566	#DIV/0!	#DIV/0!	#DIV/0!
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0.0592885375	3	1	1	1	0	1.0161290323	0.9072580645	1.0766129032	#DIV/0!	#DIV/0!	#DIV/0!
7	0.0869565217	2	1	0	1	0	0.9752066116	0.4710743802	0.5537190083	#DIV/0!	#DIV/0!	#DIV/0!
8	0.0592885375	3	0	1	1	1	0.7580645161	0.4919354839	0.75	#DIV/0!	#DIV/0!	#DIV/0!
9	0.1581027668	4	2	0	1	1	1.5185185185	0.5308641975	0.950617284	1.5	0.5070422535	0.9929577465
10	0.023715415	1	0	0	1	0	0.3967611336	0.2226720648	0.3805668016	0.4931506849	0.1643835616	0.3424657534
11	0.0515873016	1	0	0	1	0	0.489539749	0.1338912134	0.3765690377	0.5371179039	0.1659388646	0.2969432314
12	0.0513833992	1	0	1	0	0	0.4833333333	0.1666666667	0.35	0.4978165939	0.135371179	0.3668122271
13	0.1106719368	2	2	0	0	0	1.1715481172	0.3179916318	0.510460251	1.1153787735	0.3007214733	0.5838997532
14	0.0513833992	1	0	1	0	0	0.475	0.1375	0.3875	0.5301724138	0.1206896552	0.349137931
15	0.1031746032	2	2	0	0	0	1.1129707113	0.3682008368	0.5188284519	1.1959079284	0.2902447936	0.513847278
16	0.0714285714	2	0	0	2	0	1.1440329218	0.2469135802	0.6090534979	1.0603448276	0.2413793103	0.6982758621
17	0.0431372549	1	1	0	0	0	0.6024590164	0.1475409836	0.25	0.6176470588	0.1554621849	0.2268907563
18	0.0873015873	2	1	0	0	1	0.643153527	0.0871369295	0.2697095436	0.6153846154	0.1282051282	0.2564102564
19	0.1693548387	3	1	1	0	1	1.358974359	0.3247863248	0.3162393162	1.514893617	0.3404255319	0.1446808511
20	0.0448979592	1	1	0	0	0	0.7222222222	0.1794871795	0.0982905983	0.6987447699	0.1213389121	0.179916318
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
