grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.0513833992	13	0	4	9	0	0	10.1111111111	2.8888888889	#DIV/0!	#DIV/0!	#DIV/0!
2	0.0948616601	24	1	8	15	0	3.3333333333	11.619047619	9.0476190476	#DIV/0!	#DIV/0!	#DIV/0!
3	0.3754940711	19	4	6	8	1	5.6612903226	6.8951612903	5.4435483871	#DIV/0!	#DIV/0!	#DIV/0!
4	0.2687747036	17	3	8	6	0	5.3935742972	5.5301204819	6.0763052209	#DIV/0!	#DIV/0!	#DIV/0!
5	0.1739130435	11	4	3	4	0	4.5060240964	3.1807228916	3.313253012	#DIV/0!	#DIV/0!	#DIV/0!
6	0.2371541502	12	1	2	9	0	4.064516129	3.6290322581	4.3064516129	#DIV/0!	#DIV/0!	#DIV/0!
7	0.652173913	15	4	5	5	1	6.826446281	3.2975206612	3.8760330579	#DIV/0!	#DIV/0!	#DIV/0!
8	0.1383399209	7	1	4	2	0	2.6532258065	1.7217741935	2.625	#DIV/0!	#DIV/0!	#DIV/0!
9	0.3557312253	9	3	3	3	0	4.5555555556	1.5925925926	2.8518518519	4.5294117647	1.4258492129	3.0447390224
10	0.1897233202	8	5	0	3	0	3.1740890688	1.7813765182	3.044534413	3.8126027397	1.2975342466	2.8898630137
11	0.7738095238	15	8	1	6	0	7.3430962343	2.0083682008	5.6485355649	7.7521191883	2.4214824007	4.826398411
12	0.4110671937	8	5	0	2	1	3.3833333333	1.1666666667	2.45	3.4422336544	1.0012394568	2.5565268888
13	0.1660079051	3	1	1	1	0	1.7573221757	0.4769874477	0.7656903766	1.6936396431	0.435504082	0.8708562749
14	0.5138339921	10	6	1	2	1	4.275	1.2375	3.4875	4.6744842644	1.1302514682	3.1952642674
15	0	0	0	0	0	0	0	0	0	0	0	0
16	0.1071428571	3	3	0	0	0	1.7160493827	0.3703703704	0.9135802469	1.7609416446	0.3770999116	0.8619584439
17	0.0431372549	1	0	0	0	1	0	0	0	0	0	0
18	0.0873015873	2	2	0	0	0	1.2863070539	0.1742738589	0.5394190871	1.2289171837	0.2420285673	0.529054249
19	0.2258064516	4	3	1	0	0	3.3974358974	0.811965812	0.7905982906	2.6145896657	0.6117712075	0.7736391268
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0.0066225166	1	0	1	0	0	0.7733333333	0.1733333333	0.0533333333	0.8117154812	0.1882845188	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
