grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0
12	0.0513833992	1	0	1	0	0	0.4833333333	0.1666666667	0.35	0.4931506849	0.1643835616	0.3424657534
13	0.1106719368	2	1	0	1	0	1.1715481172	0.3179916318	0.510460251	1.1153787735	0.3007214733	0.5838997532
14	0.0513833992	1	1	0	0	0	0.475	0.1375	0.3875	0.5301724138	0.1206896552	0.349137931
15	0.1031746032	2	1	0	0	1	0.5564853556	0.1841004184	0.2594142259	0.6176470588	0.1554621849	0.2268907563
16	0.1071428571	3	1	0	1	1	1.1440329218	0.2469135802	0.6090534979	1.0603448276	0.2413793103	0.6982758621
17	0.2156862745	5	2	2	1	0	3.012295082	0.737704918	1.25	3.0910364146	0.760758849	1.1482047364
18	0.0873015873	2	0	1	1	0	1.2863070539	0.1742738589	0.5394190871	1.3974895397	0.2426778243	0.359832636
19	0.1129032258	2	2	0	0	0	1.358974359	0.3247863248	0.3162393162	1.2380952381	0.2943722944	0.4675324675
20	0.3142857143	7	5	2	0	0	5.0555555556	1.2564102564	0.688034188	5.230125523	1.050209205	0.719665272
21	0.2960526316	5	4	1	0	0	3.7762237762	0.7342657343	0.4895104895	3.7872340426	0.8510638298	0.3617021277
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
